Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Zanahoria *,1 Kilogramos,,1.67,2.35,2.35,1.67,2.29,2.25,2.29,1.65,1.90,1.90,2.29,2.29,2.29,1.88,1.88,1.31,2.29,2.29,1.32,2.29,1.91,1.32,2.25,2.29,1.89,2.09,1.67,1.32,2.29,1.99,2.29,1.65,1.79,1.65,1.90,2.09,1.67,2.29,1.85,1.68,1.74,1.89,1.90,1.90,1.67,2.25,2.29,2.25,1.77,1.47,1.77,2.76,3.31,2.20,2.76,2.20,2.20,,1.76,3.30,2.76,2.20,2.21,,2.21,,2.20,2.20,,1.98,1.65,,2.65,1.65,2.76,2.20,1.65,2.20,,1.76,2.09,,,3.31,3.31,1.65,2.20,1.96,1.96,1.87
Frijoles Chiricanos *,1 Kilogramos,,,,,,2.54,,,1.98,2.40,2.40,2.09,2.54,2.54,2.34,2.14,,2.62,2.54,,2.62,2.98,,,,2.18,,,,,,2.54,2.12,2.54,2.14,2.40,2.36,2.87,2.84,2.18,,,2.18,2.36,2.47,,,,2.84,2.29,2.51,1.87,2.98,,,,,3.31,,,,,,2.76,,3.31,,3.20,,,3.09,,,3.31,,,3.20,,,,,,2.76,,3.31,,,,2.54,3.06,3.20
Lentejas *,1 Kilogramos,1.61,1.52,1.61,1.61,1.54,1.61,1.61,1.39,1.34,1.43,1.43,1.52,1.39,1.39,1.17,1.17,1.65,1.39,1.52,1.52,1.30,1.61,1.74,1.39,1.39,1.28,1.43,1.52,1.52,1.52,1.39,1.39,1.17,1.23,1.54,1.43,1.30,1.52,1.30,1.28,1.52,1.52,1.43,1.43,0.99,1.65,1.08,1.08,1.61,0.95,0.93,0.95,1.87,1.61,2.20,2.76,2.20,1.65,,1.87,1.65,2.21,1.65,2.21,1.76,2.21,2.21,1.65,1.65,1.76,1.65,1.87,,2.76,2.21,2.21,1.87,1.61,1.87,,1.65,,1.65,1.87,1.43,1.61,2.21,1.43,1.39,1.34,1.87
Porotos Rojos *,1 Kilogramos,2.49,2.62,2.78,,2.87,2.76,2.43,2.76,2.07,2.76,2.76,2.76,2.76,2.76,2.12,2.05,2.09,2.76,2.16,2.62,2.76,,2.14,2.76,2.76,2.36,2.76,2.14,2.09,,2.76,2.76,2.05,2.12,,2.76,2.76,,2.76,2.56,2.09,2.16,2.36,2.76,2.76,2.62,2.43,2.76,2.76,2.31,2.07,2.09,2.98,,,,3.31,,,2.76,2.76,2.76,2.98,,2.98,2.98,2.76,2.54,2.09,2.20,2.76,2.65,,2.76,2.76,,2.54,,2.76,,,,2.98,3.20,2.76,,,2.98,2.62,2.40,2.98
Guineos *,1 Kilogramos,1.01,0.99,1.10,1.10,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.99,,0.97,,0.99,0.99,0.99,0.99,,0.99,0.99,0.99,0.93,0.95,0.99,0.99,0.99,0.99,0.99,0.97,0.95,0.91,0.98,0.95,0.95,,0.97,0.99,0.99,0.94,0.96,0.96,,0.99,0.99,0.99,0.95,0.97,0.97,1.21,1.10,1.21,1.32,1.10,1.10,,1.10,1.10,,,,,1.10,,1.10,,,,,,1.10,1.10,1.10,1.10,1.10,,,1.10,,,0.99,1.10,,,1.32,0.77,0.92,
Manzana Roja Mediana *,1 Unidades,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,0.60,0.50,0.50,0.65,0.50,0.50,,0.50,0.40,,0.50,0.50,,,,0.50,0.50,,0.50,,,0.50,0.50,0.50,0.50,0.50,,,0.50,,,0.50,0.50,,0.50,0.50,0.45,,0.45
Naranja de Jugo *,1 Kilogramos,,,,,,,,,,0.95,0.99,0.90,0.90,0.90,0.80,0.80,,0.90,,,,,,,,0.99,,,,1.04,0.95,,0.80,0.94,0.77,0.95,0.99,,,0.97,,0.90,,0.95,0.95,,0.90,0.90,,0.88,0.73,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pi§a *,1 Kilogramos,,,0.90,,,1.05,1.05,1.05,,,0.99,0.99,0.99,0.99,,,,,0.99,,1.05,,,,,0.95,0.82,,,1.05,0.77,,,,,0.82,0.82,,,0.95,,1.04,,,0.95,,1.15,1.05,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite Vegetal Nacional *,"1,42 Litros",3.92,3.15,3.55,3.55,3.15,3.39,3.39,3.39,2.39,2.19,2.19,2.35,2.15,2.15,2.17,1.97,3.15,3.39,3.39,3.15,3.39,3.14,3.40,3.39,,2.18,2.19,2.30,2.30,2.39,2.79,2.35,2.28,1.97,1.97,2.19,2.19,2.30,2.35,2.29,2.65,,3.38,3.37,,3.40,3.39,2.49,3.39,2.16,3.29,2.16,,,,,,,,3.75,,,,,,,,,3.95,,,,,,,3.50,,2.95,,,,,2.85,,,3.45,3.85,3.35,2.87,2.87,3.95
Margarina en barra*,1 Kilogramos,,3.02,3.06,3.06,2.89,2.76,2.84,2.84,2.58,2.87,2.87,2.84,2.62,3.06,2.65,2.65,2.89,2.84,2.84,2.76,2.84,2.67,2.89,2.84,2.84,2.67,2.87,2.89,2.89,2.84,2.84,2.62,2.65,2.62,2.62,2.87,2.87,3.81,2.84,2.67,2.89,2.84,2.67,2.87,,2.65,2.84,2.62,2.84,2.67,2.54,2.67,5.95,3.97,5.29,4.85,5.29,4.41,3.09,4.41,4.41,5.29,4.41,4.41,4.41,5.29,4.41,4.41,4.41,4.41,4.41,3.53,4.41,4.41,4.41,5.07,5.51,4.41,4.85,4.41,3.86,3.97,3.86,4.30,,,,,2.87,2.84,3.20
Leche en Polvo entera instant†nea *,360 Gramos,3.76,3.31,3.76,3.76,3.31,,3.25,3.65,3.23,3.45,2.98,2.15,2.59,2.15,3.53,3.63,3.31,3.25,3.25,3.31,3.25,3.76,,3.25,3.25,2.98,2.98,3.31,3.31,2.15,3.65,2.59,2.23,2.89,2.96,3.45,3.45,3.72,2.15,2.98,3.72,3.25,2.98,2.75,2.75,3.72,3.25,3.25,3.25,2.96,3.31,2.96,,,3.76,,3.76,3.76,,3.76,3.76,,3.76,3.75,,,3.75,3.76,3.76,,3.76,,,3.75,3.76,3.76,3.76,3.76,3.76,,,,,,3.76,3.75,3.76,3.75,3.76,3.57,
Leche Evaporada *,167 Gramos,0.51,0.67,0.48,0.48,0.49,0.49,0.49,0.49,0.47,0.47,0.48,0.49,0.49,0.49,0.46,0.46,0.49,0.49,0.49,0.49,0.49,0.51,0.49,0.49,0.49,0.48,0.47,0.49,0.49,0.49,0.49,0.49,0.47,0.47,0.46,0.48,0.48,0.48,0.49,0.71,0.68,0.68,0.48,0.47,0.47,0.48,,0.49,0.49,0.45,0.41,,0.75,0.80,0.75,0.75,0.75,0.60,0.75,0.60,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.70,0.70,0.70,0.75,0.70,0.75,0.75,0.70,0.60,0.60,0.60,0.60,0.75,0.75,0.70,0.75,0.75,0.69,0.70,0.75,0.70,,0.49,0.60
Leche Fresca y Pasteurizada *,946 Mililitros,1.55,1.29,1.49,1.49,1.32,1.35,1.35,1.35,1.33,1.32,1.35,1.35,1.35,1.35,1.27,1.33,1.29,1.35,1.35,1.29,1.35,1.55,1.29,1.35,1.35,1.31,1.32,1.29,1.29,1.35,1.35,1.35,1.33,1.29,1.29,1.35,1.35,1.26,1.35,1.33,1.32,1.35,1.31,1.35,1.35,1.29,1.35,1.35,1.35,1.24,1.30,1.30,1.75,,1.55,1.75,1.50,1.50,1.75,1.60,1.65,1.65,1.60,1.65,1.60,1.50,1.65,1.55,1.50,1.60,1.60,1.50,,1.55,1.40,1.50,1.65,1.50,1.50,,1.50,1.50,1.65,1.65,1.50,,,1.35,1.50,1.45,1.55
Queso Amarillo *,1 Kilogramos,6.61,6.61,6.61,6.61,6.61,6.21,6.21,6.21,6.19,6.60,6.61,6.21,6.21,6.21,6.19,6.19,6.61,6.21,6.21,6.61,6.21,6.61,,6.21,6.21,6.61,6.60,6.61,,6.21,6.21,6.21,6.19,6.39,6.19,6.60,6.60,6.61,6.21,6.59,6.61,,6.59,6.60,6.60,6.61,6.21,6.21,6.21,6.19,,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61,
Queso Blanco Prensado Bajo en Sal *,1 Kilogramos,,,,,,,11.49,11.49,11.46,,11.49,11.49,11.49,11.49,10.86,10.96,,11.49,11.49,,11.49,,,11.49,11.49,10.93,,12.01,12.25,11.49,11.49,11.49,13.95,10.90,10.90,11.49,11.49,16.30,11.49,,,,13.95,12.55,,12.01,14.99,10.57,11.19,10.86,,11.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.89,,
Huevos Medianos de Gallina *,1 Docena,1.74,1.70,1.87,1.87,1.69,1.75,1.75,1.75,1.66,1.75,1.68,1.75,1.79,1.75,1.73,1.66,1.69,1.75,1.75,1.68,1.75,1.87,1.68,1.79,1.79,1.60,1.68,1.69,1.68,1.75,1.75,1.75,1.73,1.67,1.66,1.69,1.69,1.70,1.75,1.60,1.85,1.75,1.60,1.59,1.59,1.85,1.78,1.87,1.75,1.66,1.74,1.66,,3.00,,3.00,,2.40,2.40,2.40,2.00,,,,,,,,2.40,2.40,,2.40,2.40,,1.92,2.40,1.92,2.04,2.40,1.92,1.68,1.92,1.92,2.40,,,,,,1.49,
Az£car Morena *,1 Kilogramos,1.52,1.26,1.37,1.37,,1.30,1.30,1.30,1.26,1.50,1.50,,,,0.95,0.95,1.26,1.12,1.12,1.23,1.30,1.54,1.37,1.30,1.30,1.23,1.50,,,,,,1.08,1.28,0.95,1.32,1.50,1.37,,1.12,1.23,1.12,,,,,,,,1.15,1.01,1.15,1.65,1.50,1.63,1.87,1.54,1.63,1.87,1.63,,1.43,1.43,1.43,1.32,1.43,1.43,1.43,1.65,1.54,1.63,1.63,1.63,1.74,1.63,1.43,1.43,1.37,1.74,1.63,1.63,,1.50,1.43,,1.74,1.63,1.63,,,
CafÇ Molido Tradicional *,425 Gramos,4.72,5.45,3.94,3.94,4.75,2.81,4.75,4.75,2.80,4.75,2.94,2.81,3.45,4.69,2.79,2.79,4.75,4.75,4.75,4.75,4.75,5.45,4.75,4.75,4.75,2.94,4.75,4.75,4.75,4.75,3.45,4.75,3.41,2.77,2.77,2.94,4.75,5.00,4.75,2.94,5.00,3.45,2.79,4.76,2.94,4.75,2.81,3.45,2.80,,2.77,2.77,5.25,5.95,4.95,6.95,,5.25,,,4.60,,5.50,5.50,5.50,,5.50,5.50,,5.65,,,5.65,5.50,,5.75,5.25,5.00,,,,,4.95,5.50,5.35,5.50,5.35,5.10,3.45,2.99,5.25
Jugo de Naranja *,946 Mililitros,1.31,1.29,,1.46,1.29,1.29,1.29,1.29,1.23,1.29,1.35,1.29,1.29,1.29,1.33,1.33,1.29,1.29,1.29,,1.29,1.31,1.29,1.29,1.29,1.27,1.29,1.29,1.35,1.29,1.29,1.29,1.13,1.25,1.25,1.27,1.29,1.29,1.29,1.18,1.26,1.15,,1.29,1.29,1.35,1.29,1.29,1.29,1.25,,1.25,1.45,1.45,1.35,1.50,1.35,1.35,1.25,1.30,1.00,1.25,1.35,1.25,1.40,1.30,1.25,1.25,1.25,1.35,1.25,1.35,1.25,1.25,1.25,1.35,1.25,1.35,,,1.25,1.25,1.25,1.35,1.35,1.25,1.35,1.25,,1.29,1.25
Mayonesa *,15 Onzas,2.48,2.45,2.55,2.55,2.45,2.49,2.49,,2.58,1.95,1.95,1.96,1.96,1.96,2.42,1.94,2.45,2.49,2.49,2.45,2.49,2.48,2.65,2.49,2.49,2.49,1.95,2.45,2.45,1.96,2.49,1.96,1.94,2.42,1.96,1.95,1.95,2.79,1.96,2.49,2.45,2.49,,,,,,,,,2.05,,2.85,,3.25,,,2.75,,2.75,2.75,,,2.65,,,2.65,,,,2.60,2.50,,3.00,2.85,,2.50,2.50,2.75,,2.75,2.35,,,2.35,2.65,2.65,2.95,2.49,,
Pasta de Tomate *,113 Gramos,0.50,0.50,0.45,0.45,0.50,0.35,0.35,0.35,0.33,0.39,0.49,0.49,0.35,0.35,0.26,0.26,0.50,0.35,0.35,0.50,0.35,0.50,0.50,0.35,0.35,0.41,0.49,0.40,0.40,0.45,0.35,0.35,0.34,0.34,0.37,0.49,0.39,0.50,0.35,0.41,0.50,0.45,0.35,0.29,0.35,0.30,0.35,0.35,0.30,0.26,0.32,0.33,0.75,0.60,0.75,0.85,,0.75,0.85,0.65,,0.75,,0.75,0.70,0.85,0.75,,0.65,0.75,0.70,0.75,0.75,0.75,0.75,0.75,0.75,0.50,0.75,,0.60,0.75,0.75,0.75,,0.75,,0.55,0.49,0.35,0.50
Sal  *,1 Kilogramos,0.62,0.55,0.60,0.60,0.55,0.55,0.55,0.55,0.51,0.55,0.55,0.55,0.64,0.55,0.46,0.51,0.55,0.55,0.64,0.55,0.55,,0.55,0.51,0.51,0.49,0.49,0.55,0.55,0.55,0.55,0.55,0.51,0.46,0.44,0.55,0.55,0.55,0.55,0.49,0.55,0.64,0.49,0.57,0.57,0.55,0.55,0.55,0.55,0.44,0.51,0.44,0.99,0.88,0.88,1.10,0.90,0.88,1.10,0.99,1.10,0.77,0.77,0.88,0.99,0.88,0.88,0.77,0.77,0.77,0.77,0.77,0.77,0.99,0.77,0.77,0.77,0.77,0.77,0.77,0.70,0.77,0.77,0.88,0.77,,0.99,0.77,0.77,0.55,0.77
Salsa de Tomate *,113 Gramos,0.50,0.50,0.65,0.65,0.50,0.35,0.35,0.35,0.33,0.39,0.39,0.35,0.35,0.35,0.23,0.26,0.50,0.35,0.35,0.50,0.35,0.50,0.50,0.35,0.35,0.50,0.39,0.42,0.42,0.35,0.35,0.35,0.33,0.34,0.34,0.39,0.39,0.50,0.35,0.35,0.50,0.45,0.35,0.35,0.35,0.42,0.35,0.35,0.36,0.33,0.32,0.33,0.75,0.60,0.75,0.85,0.75,0.65,,0.65,0.70,,,,,,,0.55,0.65,0.75,0.65,0.75,0.75,0.75,0.75,0.75,0.65,0.50,0.70,,0.60,0.75,0.65,0.75,0.50,0.75,0.75,0.55,0.49,,0.50
Soda en envase pl†stico *,1 Litros,1.25,1.15,1.20,1.20,1.20,1.20,1.15,1.15,1.24,1.25,1.25,1.25,1.20,1.25,1.23,1.23,1.15,1.15,1.15,1.15,1.15,1.25,1.15,1.20,1.15,1.28,1.50,1.10,1.15,1.25,1.25,1.25,1.24,1.23,1.23,1.25,1.25,1.55,1.25,1.12,,1.25,1.28,1.20,,1.15,1.25,,1.20,1.13,,1.13,1.75,1.50,1.45,1.50,1.25,1.25,1.35,1.25,1.35,,1.50,1.25,1.35,1.25,,,1.45,1.50,1.00,1.25,1.25,1.50,1.25,1.35,1.25,1.25,1.25,1.50,1.25,1.25,1.25,1.35,1.35,1.25,1.25,1.25,1.25,1.15,1.35
Sopa Deshidratada (Pollo y Fideos) *,60 Gramos,0.59,0.50,0.41,0.41,0.65,0.44,0.36,0.36,0.44,0.34,0.34,0.36,0.36,0.36,0.36,0.37,0.45,0.62,,0.45,0.62,0.42,,0.36,0.45,0.34,0.34,0.45,0.45,0.36,0.36,0.36,0.37,0.32,0.32,0.40,0.34,0.65,0.36,0.34,0.45,0.36,0.34,0.40,0.34,0.50,0.36,0.39,0.39,0.45,0.41,0.36,0.75,0.65,0.65,0.85,,0.65,0.75,0.65,0.65,0.65,0.65,0.65,,0.65,0.65,,0.65,0.65,0.65,0.65,0.65,0.65,0.60,0.65,0.65,0.60,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,,0.45,,0.59
Te Negro *,36 Gramos,0.90,,0.92,,0.95,0.95,0.95,0.95,0.94,0.93,0.93,0.95,0.95,0.95,0.87,0.87,0.95,0.95,0.95,,0.95,0.88,,0.95,0.95,0.93,0.89,,0.95,0.95,0.95,0.95,0.93,0.88,0.87,0.93,0.98,0.95,0.95,0.90,0.95,0.95,0.90,0.92,0.92,0.95,0.95,0.95,0.99,0.88,0.86,0.90,1.45,,1.15,,,,,1.25,,,,,,,,,,,,,,,,,1.00,1.25,,,,,1.00,,1.00,1.00,,1.25,0.89,,1.25
