Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,,,,,
Tomate Nacional (Perita ¢ 3 x 3) *,1 Kilogramos,2.60,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.38,2.71,2.71,2.71,2.71,2.40,2.38,2.38,2.71,2.40,2.40,2.71,2.71,2.35,,2.71,2.71,2.71,2.71,2.71,2.71,,2.71,2.71,2.38,2.31,2.39,2.71,2.71,2.71,2.40,2.71,2.71,2.40,2.24,2.25,2.71,2.71,1.99,2.40,2.71,2.38,1.98,2.39,2.20,2.20,2.71,2.71,2.20,2.71,,2.71,2.71,2.20,2.71,2.20,,2.71,,2.71,2.71,,2.20,1.76,,2.20,2.20,2.71,2.71,1.87,2.71,,,,,1.65,2.71,2.71,2.20,2.71,2.38,2.71,1.65,,,,,
Yuca *,1 Kilogramos,,,,,,,,,0.82,,,,,,0.58,0.56,,,,0.66,,0.84,0.66,,,0.66,,0.66,0.66,,,,0.64,0.70,,,,,,,0.84,,0.72,,,0.66,,,,,0.64,,0.77,,,,0.77,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.64,0.83,,,,,
Zanahoria *,1 Kilogramos,2.00,,2.35,2.35,1.67,2.27,2.29,2.29,1.65,1.90,1.67,2.29,2.29,2.29,,1.97,1.67,1.89,2.29,1.32,2.29,1.91,1.32,2.29,2.29,1.65,1.85,1.67,1.32,,1.99,2.29,1.65,1.79,1.65,2.35,2.35,1.67,2.29,1.85,1.68,2.29,1.79,,1.85,1.67,2.25,,2.25,1.65,1.37,1.65,2.20,2.76,2.20,,2.20,3.53,,2.20,2.20,2.20,2.20,1.87,,1.98,1.76,2.20,2.20,,,1.65,,2.65,1.65,3.31,2.20,1.65,2.20,,2.20,2.09,,1.65,3.31,,,2.20,,1.52,1.84,,,,,
Frijoles Chiricanos *,1 Kilogramos,2.93,,,,3.20,2.84,2.84,,2.05,,2.36,3.09,2.54,2.84,2.65,2.27,,2.54,2.54,,2.54,2.98,,,,2.18,2.36,,,,3.09,2.54,2.12,2.12,1.85,2.40,2.36,,2.84,2.18,,,2.91,,2.36,,,,,2.16,,2.56,,,,,,3.31,,,,2.76,,,,,,,,,,,,,,,3.20,,,,,,,,3.31,,,,2.31,3.06,,,,,,
Lentejas *,1 Kilogramos,1.61,1.52,2.25,1.61,1.52,1.48,1.48,1.39,1.43,1.43,1.43,1.61,1.48,1.48,1.50,1.17,1.65,1.48,1.70,1.65,1.30,1.61,1.52,1.48,1.48,1.28,1.43,,1.52,1.61,1.48,1.74,1.17,1.23,1.23,1.43,1.30,1.52,1.30,1.25,1.52,,1.28,1.43,1.43,1.52,,1.70,1.61,1.39,0.93,1.39,1.87,,2.20,2.76,2.20,1.65,,1.87,1.65,1.87,1.65,1.87,,1.87,2.76,1.65,2.20,1.76,1.65,1.87,,2.76,1.87,1.87,1.61,1.61,1.87,,,1.65,1.65,1.85,,1.65,1.87,,1.39,1.39,1.61,,,,,
Porotos Rojos *,1 Kilogramos,2.49,2.14,2.78,2.78,2.62,2.76,2.43,2.76,1.85,2.76,2.76,2.84,2.84,2.84,2.05,2.05,,2.84,2.62,2.14,2.76,2.12,2.14,2.84,2.84,2.36,2.76,,2.14,2.87,2.76,2.84,2.09,2.12,1.83,2.76,2.76,2.76,2.76,2.56,2.14,,2.36,2.09,2.76,2.14,2.27,2.84,2.87,2.31,2.07,2.31,2.98,,2.76,,3.31,,,,3.31,3.31,2.98,,,2.98,2.76,2.54,,2.65,2.76,2.76,,3.20,2.76,3.20,2.87,3.20,2.76,,,,2.98,3.20,2.76,3.64,2.76,2.98,2.62,2.62,2.98,,,,,
Guineos *,1 Kilogramos,1.01,0.99,1.10,1.10,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.97,0.97,0.99,0.99,0.99,0.99,,1.01,0.99,0.99,0.99,0.93,0.95,0.99,0.99,,0.99,0.99,0.97,0.95,0.91,0.98,0.95,0.95,,,0.99,0.99,0.94,0.97,0.96,0.95,0.99,0.99,0.99,0.91,0.93,0.97,1.21,1.10,1.21,1.32,1.10,1.10,,1.10,1.10,,,,,1.10,1.10,1.10,,,,,,1.10,0.88,1.10,1.10,1.10,,,,,,0.99,1.10,1.10,1.10,1.32,,0.92,0.99,,,,,
Manzana Roja Mediana *,1 Unidades,,,,0.45,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,0.50,0.50,0.50,0.65,0.50,0.50,,0.60,0.40,,0.50,0.50,,0.50,0.50,0.50,,,,,,0.50,0.50,0.50,0.50,0.50,0.50,,0.50,,,0.50,0.50,0.50,0.50,0.50,,0.50,,,,,,
Naranja de Jugo *,1 Kilogramos,,,,0.95,,0.90,0.90,0.90,0.80,0.95,0.95,0.90,0.90,0.90,0.80,0.80,,,,,,,,,,0.87,0.95,,,,0.95,,0.80,0.95,0.85,0.95,0.99,,,,1.02,0.90,0.99,,0.95,,0.90,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pi§a *,1 Kilogramos,,,0.90,0.90,,0.99,0.99,0.99,,,0.99,0.99,0.99,0.99,,,,,,,1.05,0.80,,0.99,0.99,0.95,0.99,,,,,0.99,,,,0.99,0.99,,0.99,0.95,,0.99,,0.99,0.99,,1.05,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite Vegetal Nacional *,"1,42 Litros",3.30,3.15,3.57,3.48,2.30,2.35,2.35,2.35,1.97,3.38,2.19,2.35,2.15,2.15,2.43,1.97,3.15,3.09,3.39,2.30,3.39,3.14,3.25,,3.39,2.18,2.19,2.30,2.30,3.39,2.35,2.35,1.97,1.97,1.97,2.19,2.19,2.30,2.35,,3.15,,2.23,3.37,3.35,3.40,3.09,2.49,,2.13,,1.97,,,,,,3.75,3.95,3.75,3.50,,,3.25,,,,3.50,,,,,,3.75,,3.50,3.25,2.95,,,,,,,2.95,3.45,,3.35,2.87,2.87,3.95,,,,,
Margarina en barra*,1 Kilogramos,2.93,2.89,3.06,2.95,2.89,2.84,2.84,2.84,2.58,2.87,2.87,,2.62,2.84,2.58,2.62,,2.62,2.84,2.89,2.98,2.67,3.90,2.84,2.84,2.71,2.87,2.65,2.89,2.84,2.84,2.62,2.62,2.62,2.62,2.87,2.87,3.81,2.84,,2.89,2.84,2.93,2.87,2.87,2.69,2.84,,,2.54,2.65,2.54,5.73,3.97,3.86,,5.29,4.41,4.41,4.85,4.41,4.41,4.41,3.86,,4.41,4.41,4.41,4.41,,,3.53,4.41,3.97,4.41,4.85,5.51,4.41,4.65,,3.86,4.08,3.86,4.05,,,,,2.87,2.84,,,,,,
Leche en Polvo entera instant†nea *,360 Gramos,3.76,3.31,3.76,3.76,3.31,2.15,2.15,3.25,2.96,3.45,2.98,2.15,2.15,2.15,2.98,2.96,,3.25,3.25,3.31,3.25,3.76,3.32,2.98,2.98,2.98,2.98,3.31,3.31,3.25,2.15,2.15,3.23,3.15,2.96,2.98,3.45,,2.15,3.73,3.73,3.25,2.98,3.45,3.45,3.72,,3.25,3.72,2.96,2.96,2.96,,,3.76,,3.76,3.76,,3.76,3.76,,3.76,3.76,,3.76,3.75,3.76,3.76,,3.70,,,3.76,3.76,3.76,3.76,3.75,3.76,,,,,,3.76,3.75,3.76,3.75,3.76,3.57,3.76,,,,,
Leche Evaporada *,167 Gramos,0.51,0.49,0.48,0.48,0.49,0.49,0.49,0.49,0.47,0.63,0.48,0.49,0.49,0.49,0.46,0.46,0.49,0.49,0.49,0.49,0.49,0.51,0.49,0.49,0.49,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.47,0.48,0.46,0.48,0.48,0.48,0.49,0.71,,0.68,0.46,0.47,0.47,0.48,0.49,0.49,0.68,0.44,0.41,0.44,0.75,0.80,0.75,0.85,0.75,0.75,0.75,0.60,0.75,0.75,0.60,0.75,0.75,0.55,0.55,0.70,0.60,0.70,0.60,0.70,0.75,0.75,0.70,0.75,0.60,0.50,0.60,0.75,0.75,0.65,0.75,0.75,0.69,0.70,0.75,0.70,0.49,0.49,0.60,,,,,
Leche Fresca y Pasteurizada *,946 Mililitros,1.55,1.31,1.49,1.49,1.32,1.35,1.35,1.35,1.33,1.32,1.35,1.35,1.35,1.35,1.27,1.33,1.45,,1.45,1.45,1.35,1.66,1.45,1.45,1.45,1.31,1.32,1.35,1.31,1.35,1.35,1.35,1.33,1.29,1.29,1.35,1.35,1.29,1.35,1.38,1.31,1.35,1.31,1.35,1.35,1.29,1.35,1.45,1.35,1.27,1.33,1.27,1.65,1.75,1.55,1.75,1.50,1.50,1.60,1.60,1.55,1.65,1.65,1.65,1.60,1.50,1.55,1.55,1.50,1.60,1.60,1.50,1.60,1.55,1.30,1.50,1.50,1.50,1.50,,1.50,1.50,1.65,1.65,1.50,1.50,1.50,1.35,1.45,1.45,1.45,,,,,
Queso Amarillo *,1 Kilogramos,6.61,6.61,6.61,,6.61,6.21,6.21,6.21,6.19,6.60,6.60,6.21,6.21,6.21,6.19,6.19,6.61,6.21,6.21,6.61,6.21,6.61,6.61,6.61,6.61,6.61,6.60,6.61,,6.21,6.21,6.21,6.19,6.02,6.19,6.60,6.60,,6.21,6.59,6.61,6.21,6.57,6.60,6.60,6.61,6.21,6.21,6.21,6.19,,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61,,,,,,
Queso Blanco Prensado Bajo en Sal *,1 Kilogramos,11.29,,11.43,14.30,14.49,11.49,11.49,11.49,11.95,,11.75,11.49,11.49,11.49,13.95,10.86,11.79,11.49,,11.79,11.49,14.86,14.99,9.95,14.49,10.93,11.75,11.49,12.25,11.49,11.49,12.99,13.95,10.74,11.03,11.49,11.05,,11.49,,,,11.13,,9.89,,11.49,,10.57,,,11.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huevos Medianos de Gallina *,1 Docena,1.87,1.68,1.68,1.87,1.75,1.75,1.75,1.87,,1.74,1.69,1.75,1.74,1.74,1.67,1.67,1.68,1.75,1.74,1.68,1.75,1.87,1.80,1.87,1.87,1.60,1.69,1.68,1.68,1.74,1.87,1.75,1.65,1.65,1.67,1.69,1.65,,1.75,1.60,1.75,1.74,1.60,1.69,1.69,1.68,1.87,1.75,1.75,1.65,1.66,1.66,2.40,,,3.00,2.40,2.40,2.40,2.40,2.40,2.40,2.40,1.80,1.80,2.40,1.92,,,2.40,,2.40,2.40,2.40,1.92,2.40,1.92,1.80,2.40,1.92,2.40,1.80,1.92,,,,,,,,,,,,,
Az£car Morena *,1 Kilogramos,1.72,1.23,1.37,1.40,1.23,,,,1.26,1.50,1.50,1.12,1.12,1.12,0.95,0.95,1.23,1.13,1.33,,1.13,,1.23,1.13,1.23,1.23,1.50,,,1.13,,,1.08,1.28,0.95,1.50,1.50,,1.12,1.13,1.23,1.30,,,,,,,,1.15,1.34,1.15,1.87,1.50,1.63,1.87,1.75,1.63,1.88,1.63,1.37,1.54,1.63,1.63,1.54,1.63,1.88,1.45,,1.75,,1.63,1.63,1.54,1.63,1.63,1.63,1.37,1.54,1.63,1.63,,1.50,1.75,1.25,1.75,1.43,1.63,,,,,,,,
CafÇ Molido Tradicional *,425 Gramos,5.45,4.75,3.94,4.51,4.75,2.81,2.81,2.81,4.73,5.28,4.75,2.81,3.45,4.75,2.79,2.79,5.50,3.45,3.45,4.75,4.75,4.73,4.75,4.75,4.75,2.79,2.94,4.75,4.75,3.45,2.81,3.45,4.89,2.77,2.77,4.75,4.75,4.75,4.75,4.99,5.00,4.99,2.79,2.94,2.94,4.75,2.81,4.75,3.45,2.77,2.77,2.77,5.75,5.90,5.95,6.95,,5.25,,5.50,5.25,,5.50,5.50,5.50,,,5.50,,,,,5.65,5.50,,5.75,5.25,5.00,,,,,4.95,,5.35,5.50,5.25,5.10,3.45,2.99,,,,,,
Jugo de Naranja *,946 Mililitros,1.31,1.29,,1.46,1.29,1.29,1.29,1.29,1.27,1.29,1.29,1.29,1.29,1.29,1.33,1.33,1.29,1.29,1.29,1.35,1.29,1.15,1.10,1.29,1.29,1.27,1.27,1.29,1.35,1.29,1.29,1.29,1.33,1.25,1.25,1.27,1.29,1.29,1.29,1.18,1.15,1.29,1.18,1.29,1.25,1.29,1.29,1.29,1.29,1.25,1.33,1.06,1.45,1.25,1.35,1.50,1.35,1.35,1.35,1.35,1.30,1.35,1.35,1.35,1.40,1.35,1.25,1.35,1.25,1.35,,1.25,1.25,1.25,1.25,1.35,1.35,1.25,1.35,1.45,1.25,1.25,1.25,1.35,1.35,1.25,1.35,1.25,1.29,1.39,,,,,,
Mayonesa *,15 Onzas,,2.10,2.17,2.40,2.40,2.12,2.12,2.12,2.10,2.09,2.09,2.12,2.12,2.12,2.10,2.07,2.10,1.99,2.12,2.10,2.12,2.12,2.10,2.12,2.12,2.12,2.09,2.10,2.10,2.49,2.12,2.45,2.10,2.12,2.10,2.09,2.09,2.65,2.12,2.71,2.10,2.12,2.12,2.49,2.09,,1.99,,,,2.05,2.47,2.85,,3.25,,2.50,2.75,,2.75,2.75,,,2.65,,,2.25,,,3.00,2.60,2.50,,3.00,2.85,,,,2.75,,,2.35,2.50,,2.35,2.65,2.65,2.95,2.12,,,,,,,
Pasta de Tomate *,113 Gramos,0.50,0.50,0.45,0.45,0.50,0.35,0.35,0.35,0.34,0.49,0.49,0.45,0.49,0.35,0.33,0.26,0.50,0.35,0.35,0.40,0.35,0.50,0.65,0.35,0.35,0.49,0.39,0.40,0.40,0.35,0.35,0.35,0.34,0.34,0.33,0.49,0.49,0.50,0.35,0.44,0.40,0.45,0.35,0.32,0.49,0.50,0.35,0.35,0.35,0.26,0.46,0.30,0.75,0.60,0.75,0.85,0.75,0.65,0.85,0.55,0.60,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.65,0.75,0.70,0.85,0.75,0.75,0.75,0.75,0.75,0.65,0.75,,,0.75,0.75,0.85,0.65,0.75,0.75,0.55,0.49,0.35,0.50,,,,,
Sal  *,1 Kilogramos,0.55,0.55,0.60,0.62,0.55,0.55,0.55,0.55,0.51,0.57,0.57,0.55,0.64,0.55,0.46,0.51,0.50,0.64,0.64,0.55,0.55,,0.55,0.51,0.55,0.49,0.49,0.55,0.55,0.55,0.64,0.55,0.51,0.46,0.44,0.55,0.55,0.55,0.55,0.49,0.55,0.55,0.49,0.55,0.57,0.55,0.55,0.55,0.55,0.51,0.44,0.44,0.99,0.99,0.88,1.10,0.99,0.88,1.10,0.88,1.10,0.77,0.77,0.88,0.88,0.88,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.99,0.88,0.77,0.77,,0.88,0.77,0.77,0.77,0.77,0.99,0.77,0.88,0.99,0.77,0.66,0.64,0.77,,,,,
Salsa de Tomate *,113 Gramos,0.50,0.50,0.65,0.65,0.50,0.35,0.35,0.35,0.33,0.49,0.39,0.35,0.35,0.35,0.33,0.26,0.50,0.35,0.35,0.49,0.35,0.50,0.49,0.35,0.35,0.44,0.39,0.49,0.49,0.35,0.35,0.35,0.33,0.43,0.33,0.39,0.39,0.50,0.35,0.44,0.50,0.45,0.35,0.35,0.35,0.50,0.35,0.35,0.65,0.33,0.31,0.33,0.75,0.55,0.75,0.85,0.75,0.65,0.85,0.55,0.60,0.75,0.75,0.75,0.70,0.75,0.75,0.75,0.65,0.75,0.70,0.75,0.75,0.65,0.75,0.75,0.65,0.65,0.70,,0.70,0.60,0.65,0.75,0.50,0.75,0.75,0.55,0.49,0.35,0.50,,,,,
Soda en envase pl†stico *,1 Litros,1.05,1.15,1.20,1.29,1.50,0.99,0.99,0.99,1.24,1.25,1.25,0.99,,0.99,1.48,0.97,1.25,1.10,1.20,1.35,1.20,1.12,1.35,0.99,0.99,1.28,1.25,1.05,1.05,0.99,0.99,0.99,1.24,1.04,1.22,1.05,1.05,,0.99,1.53,1.05,0.99,1.25,1.05,,1.30,0.99,0.99,1.25,0.97,1.00,1.05,1.75,1.50,1.45,1.75,1.25,1.25,1.35,1.25,1.35,1.25,1.25,1.75,1.35,1.25,1.25,1.35,1.35,1.50,,1.25,1.25,1.25,1.25,1.35,1.25,,1.25,1.50,1.25,1.50,1.25,1.25,1.35,1.25,1.25,1.25,1.25,1.15,1.35,,,,,
Sopa Deshidratada (Pollo y Fideos) *,60 Gramos,0.40,0.45,0.49,0.48,0.50,0.39,0.42,0.39,0.37,0.44,0.40,0.42,0.39,0.39,0.37,0.37,0.45,0.42,0.39,0.50,0.42,0.42,0.45,0.42,0.42,0.40,0.40,0.45,0.45,0.42,0.39,0.39,0.37,0.32,0.32,0.40,0.40,0.65,0.42,,0.45,0.42,0.40,0.41,0.44,0.50,0.42,0.44,0.44,0.38,0.41,0.57,0.75,,0.65,0.85,0.75,0.65,0.75,0.60,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.60,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,,0.41,0.39,0.59,,,,,
Te Negro *,36 Gramos,0.90,0.99,0.92,0.97,0.95,0.95,0.95,0.95,0.93,0.93,0.93,0.95,0.95,0.95,0.87,0.87,0.99,0.95,0.95,0.95,0.95,0.88,0.95,0.95,0.95,0.93,0.89,0.95,0.95,0.95,0.95,0.95,0.93,0.88,0.87,0.93,0.93,,0.95,0.99,0.99,0.95,0.90,,0.92,0.95,0.95,0.95,0.95,0.88,0.86,0.85,1.45,1.00,,1.35,,1.25,,1.25,1.20,,,,,,,1.35,,,,,,,,,,,,,,,1.00,,1.00,1.00,,1.25,1.03,0.90,,,,,,
