Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,,,,,
Pan de Michita *,1 Kilogramos,,,,,,2.49,2.49,,,,,,2.45,,3.00,,,,,2.75,,,,,,,,,,,,,3.00,,3.00,,,,,,2.75,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,,,,3.60,,,,,,,
Pan Molde *,500 Gramos,,,0.92,0.92,,0.92,0.92,,0.90,,0.91,0.92,,0.92,0.87,0.89,,,0.92,0.92,0.92,,,,0.92,0.89,0.91,0.92,0.92,0.92,0.92,0.92,0.90,0.86,0.90,0.92,0.91,,,,,,0.89,,0.91,0.92,,0.92,,0.87,0.88,0.87,,,,,,,,,,,,,,,,0.92,,,,,,,0.92,,,0.92,,,0.92,0.92,,,,,,,0.92,0.92,0.92,,,,,
Tortilla de Ma°z *,10 Unidades,1.44,1.19,1.45,1.45,1.19,1.15,1.25,1.15,1.34,0.99,0.99,1.05,1.05,1.05,0.89,0.94,1.18,1.15,,1.13,1.15,1.10,,1.15,1.15,0.89,1.10,1.13,1.19,1.15,1.05,1.05,1.34,1.10,0.89,1.15,0.98,1.19,1.15,1.13,1.13,,0.79,0.95,0.79,0.95,1.05,1.05,1.05,0.81,,1.11,1.15,,1.25,,1.00,1.00,1.00,1.00,1.10,1.00,1.00,1.00,1.25,1.00,1.10,1.00,1.00,,,1.00,1.15,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,,1.00,1.00,1.00,1.10,,0.99,0.95,,,,,
Aj° Dulce y/o picoloro *,1 Kilogramos,3.00,2.39,3.80,3.80,2.98,2.65,2.35,2.35,2.67,2.45,1.89,2.35,2.35,2.35,1.87,1.97,2.39,2.19,2.35,2.39,2.35,,2.10,2.35,2.35,2.40,2.45,2.39,2.39,2.35,2.35,2.05,2.68,2.28,2.43,2.45,2.45,2.39,2.35,,4.41,2.35,2.44,,,2.39,1.99,2.19,2.59,2.17,,2.17,2.76,,,2.76,2.76,3.31,1.76,3.31,3.31,,,,,3.31,,,,,,,,2.65,,2.76,,2.20,,,2.20,2.20,,,3.86,3.31,,3.31,1.74,1.74,1.65,,,,,
Ajo *,1 Kilogramos,,,3.30,3.30,3.64,1.75,2.49,2.80,2.73,2.45,1.75,1.75,1.75,1.75,1.73,1.73,3.64,1.75,,3.64,1.75,2.47,3.64,,,,1.80,3.64,3.64,1.75,2.75,1.75,3.62,1.70,1.78,,2.25,,1.75,3.86,3.64,1.74,2.20,,,3.64,,1.75,2.75,,2.70,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,,,,2.18,,2.07,,,,,
Cebolla Amarilla *,1 Kilogramos,,1.75,1.76,1.76,,,,,1.73,,1.76,,1.76,1.76,,,1.75,1.76,1.76,,,,1.75,1.76,1.76,1.75,,,,,,,,,,1.76,1.76,1.75,1.76,1.76,1.74,,1.75,1.76,,1.75,1.76,1.76,1.76,,,1.76,1.76,1.76,1.76,,,,,,1.76,1.76,1.76,,,,1.76,,1.76,,,1.76,1.76,,1.76,,,1.76,,,,,,,1.76,1.76,,1.76,,1.76,1.76,,,,,
Lechuga *,1 Kilogramos,2.96,3.11,4.70,4.45,3.11,3.59,2.75,2.75,2.73,3.09,2.75,2.75,2.75,2.75,3.73,2.73,3.11,2.75,,3.11,,2.20,,2.75,2.75,3.07,3.09,3.11,3.11,2.75,3.64,2.75,3.73,2.67,2.73,2.45,2.45,3.11,2.75,2.80,3.11,2.75,2.43,1.75,1.75,3.11,2.75,3.59,2.75,,3.55,2.86,3.31,2.20,3.86,2.20,3.31,3.31,,3.31,3.31,2.76,,3.31,,3.31,,2.20,2.76,,,2.20,,,2.20,3.31,3.31,,2.98,,,2.20,,,,2.76,2.20,,1.65,1.65,2.75,,,,,
•ame Diamante *,1 Kilogramos,,0.88,0.88,0.88,0.88,0.85,,0.85,0.86,0.88,0.88,0.85,0.85,0.85,0.69,0.83,0.88,,,0.88,0.85,,0.88,0.85,0.85,0.85,0.88,0.88,0.88,0.85,,0.85,0.83,0.82,0.83,0.88,0.88,0.88,0.85,,0.88,0.85,0.88,0.88,0.88,0.88,0.85,0.85,0.85,0.83,,0.83,,,,,,,,,,,,0.88,,0.88,,0.88,0.88,,,,,0.88,,,,,0.88,,,,,,,,0.88,,0.79,0.84,0.88,,,,,
Papa Nacional *,1 Kilogramos,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.52,1.49,1.54,1.54,1.54,1.54,1.28,1.52,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.49,1.09,1.54,1.54,1.54,1.54,1.54,1.52,1.46,1.47,1.54,1.54,1.54,1.54,1.50,1.54,1.54,1.34,1.54,1.54,,1.54,1.54,1.54,1.31,1.07,1.31,1.54,1.54,1.32,,1.54,1.54,,1.54,1.54,1.54,,1.54,,1.54,1.32,1.54,1.54,,,1.54,1.54,1.54,1.32,1.54,1.43,1.54,1.54,,1.54,1.32,,1.54,1.54,1.54,1.54,1.54,1.36,1.54,1.54,,,,,
Pl†tano Verde *,1 Unidades,,,,,,,,,,,,,,,,,,0.27,0.27,,0.27,,,,,,,,,0.27,,,,,,,,,,0.25,0.25,,,,0.22,0.25,0.27,0.27,0.27,0.22,0.24,0.22,0.50,0.35,0.45,0.55,0.40,0.35,0.40,0.40,0.40,0.35,0.35,0.35,,0.45,0.40,0.35,0.40,,,0.35,0.40,0.40,0.35,0.35,0.35,0.35,0.35,,0.40,,,0.25,0.40,0.40,0.35,0.40,0.25,0.25,0.20,,,,,
Repollo Verde *,1 Kilogramos,2.00,1.78,3.08,3.08,1.78,2.39,2.29,2.39,2.33,2.35,2.39,2.29,2.29,2.29,1.70,3.26,1.78,2.57,2.95,1.78,2.29,,,2.29,2.29,2.25,2.39,,1.78,2.29,2.29,2.29,2.33,1.81,2.23,2.39,2.39,1.78,2.29,1.87,1.79,2.29,1.52,2.39,2.39,1.78,2.29,2.29,2.25,,1.47,2.33,2.20,2.20,2.76,2.76,2.20,2.20,,2.76,2.20,2.20,2.20,2.20,,2.20,1.76,2.20,2.20,,,1.65,,2.65,1.65,3.31,2.20,1.65,2.20,,2.76,2.20,,,2.76,2.20,,2.76,1.74,1.74,1.65,,,,,
