,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA¥A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,,SUPER 99 TUMBA MUERTO,,XTRA TUMBA MUERTO,,EL MACHETAZO COSTA SUR,,EL MACHETAZO METRO MALL,,SUPER 99 LOS PUEBLOS,,SUPER 99 PEDREGAL,,SUPER 99 PLAZA TOCUMEN,,XTRA LAS ACACIAS,,XTRA LOS PUEBLOS,,REY CHANIS,,SUPER 99 CHANIS,,SUPER 99 PORTOBELO,,REY 12 DE OCTUBRE,,SUPER 99 VISTA HERMOSA,,CASA DE LA CARNE VIA PORRAS,,REY CALLE 50,,SUPER 99 SAN FRANCISCO,,SUPER 99 VÖA PORRAS,,EL FUERTE SAN MIGUELITO,,EL MACHETAZO SAN MIGUELITO,,REY BRISAS DEL GOLF,,REY VILLA LUCRE,,SUPER 99 BRISAS DEL GOLF,,SUPER 99 LOS ANDES,,SUPER 99 VILLA LUCRE,,XTRA MARKET  VILLA LUCRE,,XTRA OJO DE AGUA,,XTRA PAN DE AZéCAR,,EL MACHETAZO CALIDONIA,,EL MACHETAZO SANTA ANA,,REY BOMBERO SANTA ANA,,SUPER 99 LA CUCHILLA CALIDONIA,,SUPER 99 MA¥ANITAS,,EL FUERTE VILLA ZAITA,,REY MILLA 8,,SUPER 99 LA CABIMA,
14,11,Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.68,0.69,0.82,0.47,0.69,0.69,0.41,0.54,0.44,0.42,0.50,0.65,0.65,0.65,0.55,0.41,0.44,0.41,0.44,0.44,0.44,0.48,0.45,0.50,0.45,0.70,0.68,0.44,0.44,0.44,0.41,0.59,0.45,0.44,0.41,0.66,0.65,0.70,0.70,0.41,0.41,0.44,0.41,0.49,0.38,0.47,0.47,0.55,0.79,0.69,0.45,0.44,0.46,0.41,0.44,0.44,0.41,0.41,0.43,0.43,0.36,0.36,0.48,0.47,0.65,0.55,0.55,0.75,,0.68,0.41,0.41,,0.45,0.67,0.70,0.69,0.44,0.51
14,12,Tuna en Agua *,142 Gramos,1.32,1.80,1.32,1.65,1.15,1.15,1.49,1.32,1.20,1.13,1.03,1.57,1.57,1.57,1.57,1.15,1.09,1.15,1.34,1.09,1.09,1.23,1.03,1.03,1.53,1.32,1.39,1.09,1.09,1.09,1.09,1.32,1.29,1.25,1.15,1.56,1.56,1.32,1.34,1.15,1.15,1.09,1.09,1.56,1.56,1.57,1.57,1.32,1.39,1.32,1.80,1.09,1.09,1.15,1.25,1.25,1.09,1.23,1.25,1.23,1.14,1.33,1.37,1.57,1.57,1.57,1.57,1.80,1.69,,1.15,1.09,,1.56,,,1.34,1.20,1.34
14,13,Jam¢n Cocido Empacado 4x4 *,1 Kilogramos,7.51,7.94,7.51,7.51,5.49,7.61,7.85,7.51,7.85,7.56,8.25,7.51,8.27,8.27,7.45,5.49,7.91,5.49,7.91,7.61,7.85,7.65,7.85,7.78,8.25,7.61,6.50,7.61,7.85,7.61,7.85,7.61,7.85,7.61,7.85,7.85,7.85,7.72,7.94,5.49,7.91,7.91,7.85,7.52,7.76,8.27,8.27,7.94,7.17,7.94,7.61,7.47,7.91,7.61,7.91,7.25,7.85,7.76,7.85,8.36,7.50,7.76,8.28,8.27,8.27,8.27,8.27,,7.61,,,,,7.76,7.76,7.61,7.85,7.51,7.91
14,14,Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,7.54,7.54,8.40,8.40,8.36,8.36,4.92,7.54,4.96,8.31,4.92,7.54,4.92,7.54,4.92,4.96,4.92,4.96,4.92,8.36,4.92,7.54,4.92,8.33,4.92,7.54,4.92,7.54,4.92,4.96,4.92,7.54,4.92,7.54,4.92,7.54,4.92,7.54,4.92,4.96,4.92,7.54,4.92,8.09,4.92,8.38,4.92,7.54,4.92,7.54,4.92,7.54,5.49,7.54,4.96,8.36,4.92,7.54,4.92,8.07,4.92,8.05,,,,,,,,,,,,8.09,4.87,,4.92,8.36,4.92
14,15,Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,4.07,3.42,7.61,7.67,4.17,4.17,7.61,4.63,3.42,3.42,4.19,3.42,4.17,3.42,3.42,4.17,3.42,4.17,4.53,3.42,4.53,3.42,4.19,3.42,6.28,3.42,3.42,4.63,7.61,3.42,3.42,3.42,3.42,3.42,4.17,4.07,4.54,3.42,3.42,4.17,4.17,4.63,4.53,3.42,3.42,3.42,4.17,3.42,3.42,3.42,3.42,4.63,4.63,3.42,4.63,7.61,4.53,3.42,3.42,3.42,3.42,3.42,4.54,3.42,4.17,3.42,3.42,4.83,,4.83,,4.17,,3.42,3.42,3.42,3.42,4.63,7.61
5,16,Arroz de Primera *,1 Kilogramos,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.85,0.88,0.88,0.87,0.87,0.87,0.86,0.88,0.88,0.88,0.87,0.88,0.85,0.85,0.86,0.84,0.87,0.88,0.86,0.88,0.87,0.88,0.87,0.87,0.87,0.88,0.88,0.88,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.87,0.87,0.88,0.87,0.87,0.88,0.88,0.88,0.87,0.88,0.88,0.86,0.87,0.85,0.79,0.88,0.87,,,,0.87,0.87,0.87,,,0.87,,0.88,0.88,0.87,0.87,0.87,0.87
5,17,Codito *,454 Gramos,0.83,0.85,0.89,0.59,0.79,0.79,0.79,0.79,0.79,0.61,0.57,0.85,0.75,0.75,0.82,0.79,0.79,0.79,0.79,0.79,0.79,0.73,0.70,0.80,0.77,0.59,0.85,0.95,0.79,0.79,0.79,0.59,0.85,0.79,0.79,0.85,0.85,0.85,0.85,0.79,0.79,0.79,0.79,0.84,0.84,0.75,0.75,0.59,0.85,0.59,0.85,0.79,0.79,0.79,0.79,0.79,0.79,0.77,0.83,0.57,0.57,0.60,0.60,0.75,0.82,0.75,0.82,0.59,0.59,0.79,0.95,0.75,,0.84,0.84,0.58,0.85,0.79,0.95
5,18,Crema  de Ma¡z *,300 Gramos,0.62,0.65,0.62,0.62,0.60,0.60,0.65,0.65,0.65,0.63,0.63,0.62,0.60,0.70,0.70,0.60,0.60,0.60,0.70,0.60,0.65,0.58,0.58,0.58,0.69,0.65,0.72,0.60,0.65,0.65,0.60,0.62,0.65,0.60,0.65,0.62,0.64,0.65,0.65,0.60,0.65,0.65,0.60,0.60,0.60,0.60,0.60,0.62,0.65,0.62,0.79,0.60,0.65,0.65,0.65,0.60,0.60,0.69,0.69,0.58,0.58,0.68,0.69,0.60,0.60,0.60,0.60,,,,0.65,0.69,,0.60,0.69,,0.60,0.60,0.60
5,19,Hojuelas de Ma¡z (corn flakes) cajeta *,300 Gramos,2.24,2.50,2.12,2.50,2.50,1.99,1.59,2.50,1.79,1.98,1.98,1.95,3.09,2.45,3.09,1.59,1.59,1.59,1.39,2.29,1.59,2.18,1.98,1.48,1.98,2.10,2.32,1.59,2.32,1.99,1.99,2.10,2.10,2.29,1.39,3.05,2.31,2.10,2.20,1.79,1.79,1.59,3.09,1.98,3.15,2.45,3.09,2.50,2.50,2.10,2.98,1.79,1.99,2.12,1.59,1.79,1.59,1.48,2.48,2.18,1.98,1.48,2.27,2.45,3.09,2.45,3.09,2.10,2.98,3.09,1.79,3.09,,1.98,1.99,2.10,2.98,1.39,1.79
5,20,Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.81,0.76,0.59,0.59,0.58,0.63,0.79,0.58,0.63,0.56,0.61,0.65,0.58,0.58,0.58,0.63,0.85,0.58,0.75,0.63,0.63,0.61,0.61,0.65,0.61,0.75,0.71,0.63,0.85,0.58,0.71,0.76,0.85,0.58,0.78,0.59,0.67,0.75,0.85,0.58,0.63,0.58,0.71,0.84,0.56,0.65,0.65,0.65,0.75,0.76,0.76,0.63,0.81,0.63,0.73,0.58,0.79,0.57,0.76,0.54,0.54,0.59,0.50,0.72,0.75,0.75,0.75,0.76,0.71,0.73,0.71,0.63,,0.85,0.56,0.59,0.93,0.58,0.71
5,21,Pan de Michita *,1 Kilogramos,2.60,2.69,2.60,2.60,2.60,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.50,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,3.52,2.50,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,2.80,2.60,,2.60,2.80,2.60,2.50,2.60,2.80
5,22,Pan Molde *,500 Gramos,0.91,0.91,0.92,0.92,0.91,0.92,0.90,0.92,0.90,0.90,0.90,0.91,0.90,0.91,0.90,0.91,0.90,0.91,0.90,0.91,0.90,0.89,0.89,0.89,0.89,0.91,0.92,0.91,0.90,0.91,0.90,0.91,0.92,0.92,0.90,0.91,0.90,0.92,0.90,0.91,0.90,0.91,0.90,0.92,0.92,0.91,0.90,0.92,0.92,0.91,0.92,0.91,0.90,0.92,0.90,0.92,0.90,0.90,0.90,0.87,0.87,0.91,0.87,0.91,0.90,0.91,0.90,0.91,0.90,0.91,0.90,0.91,,0.91,0.92,0.91,0.92,0.91,0.90
5,23,Tortilla de Ma¡z *,10 Unidades,1.10,1.15,1.45,1.45,1.15,1.15,1.49,1.15,1.35,0.90,0.94,1.14,0.99,1.15,0.99,1.15,1.05,1.05,1.15,1.15,1.05,0.90,0.90,0.90,0.90,1.15,0.99,1.05,1.15,1.25,1.15,1.14,0.99,1.15,1.15,1.10,1.10,1.50,1.15,1.15,1.15,1.05,1.15,0.89,0.87,1.15,0.99,1.14,0.99,1.00,1.28,1.14,1.05,1.05,1.15,1.05,1.05,1.10,1.06,0.85,0.88,1.11,0.90,1.15,0.85,1.10,1.10,1.59,1.09,1.14,1.15,1.49,,1.13,0.87,1.10,1.15,1.25,1.15
10,24,Aj¡ Dulce y/o picoloro *,1 Kilogramos,3.00,2.40,2.40,3.80,2.20,2.20,2.30,2.20,2.20,3.67,2.18,2.40,2.35,2.35,2.35,2.20,2.20,2.20,2.20,2.20,2.20,1.89,1.89,2.18,2.18,2.40,2.40,2.20,2.20,2.20,2.20,3.00,2.30,2.20,2.20,2.40,2.30,3.25,2.40,2.20,2.20,2.20,2.20,1.98,1.98,2.35,2.35,2.40,2.40,2.40,2.40,2.20,2.30,2.20,2.30,2.20,2.20,2.18,2.18,2.18,2.08,1.89,1.89,3.35,2.35,2.35,2.35,2.40,2.30,2.20,2.20,2.20,,2.25,2.25,2.40,2.40,2.20,2.20
10,25,Ajo *,1 Kilogramos,4.11,4.85,3.30,3.30,3.85,3.85,3.10,3.85,3.10,3.85,3.17,3.85,3.98,3.98,3.98,3.70,3.10,3.70,3.10,3.85,3.10,2.98,3.96,3.57,4.02,3.85,4.85,3.70,3.70,3.49,3.10,3.85,4.85,3.85,3.70,3.85,3.66,4.85,3.66,3.19,3.19,3.70,3.10,2.62,3.66,3.98,3.98,4.85,4.85,4.85,4.85,3.85,3.10,3.85,3.66,3.85,3.10,3.85,3.66,4.02,2.08,2.90,4.02,3.98,3.98,3.98,3.98,3.85,3.66,3.85,3.66,3.85,,3.85,2.10,4.85,4.85,3.85,3.70
10,26,Cebolla Amarilla *,1 Kilogramos,1.76,1.76,1.76,1.76,1.76,1.43,1.43,1.71,1.71,1.73,1.73,1.76,1.65,1.76,1.65,1.76,1.76,1.76,1.76,1.76,1.76,1.74,1.74,1.74,1.74,1.75,1.75,1.76,1.76,1.76,1.76,1.75,1.75,1.76,1.76,1.76,1.32,1.75,1.75,1.76,1.76,1.76,1.76,1.19,1.45,1.76,1.65,1.75,1.75,1.71,1.75,1.76,1.76,1.76,1.76,1.76,1.76,1.73,1.73,1.73,1.73,1.17,1.35,1.76,1.76,1.76,1.65,1.75,1.75,1.76,1.76,1.76,,1.59,1.71,1.75,1.75,1.76,1.76
10,27,Lechuga *,1 Kilogramos,1.91,2.95,2.80,4.45,2.75,2.99,2.85,2.99,2.99,2.70,2.70,2.65,2.10,2.65,2.10,2.99,2.99,2.99,2.85,3.04,3.04,1.93,1.93,3.00,2.85,2.95,2.95,2.99,2.99,2.99,2.99,1.85,3.80,2.80,2.85,2.80,2.85,2.95,2.95,2.99,2.85,2.99,2.99,2.62,2.62,2.65,2.65,2.95,2.85,2.95,2.95,2.99,2.99,2.99,2.99,2.99,2.99,2.80,2.20,1.93,2.11,1.93,2.42,2.65,2.65,2.65,2.65,2.95,2.95,2.99,2.85,2.99,,2.62,2.62,2.95,2.95,2.99,2.99
10,28,¥ame Diamante *,1 Kilogramos,0.84,0.88,0.88,0.88,0.79,0.84,0.79,0.79,0.79,0.86,0.85,0.88,0.88,0.88,0.88,0.79,0.79,0.79,0.79,0.79,0.85,0.86,0.86,0.86,0.86,0.88,0.88,0.79,0.79,0.84,0.85,0.88,0.88,0.79,0.79,0.84,0.85,0.88,0.88,0.84,0.79,0.84,0.85,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.79,0.79,0.84,0.85,0.84,0.85,0.77,0.85,0.83,0.85,0.86,0.86,0.88,0.88,0.88,0.88,0.88,0.88,0.79,0.79,0.79,,0.85,0.85,0.88,0.88,0.84,0.79
10,29,Papa Nacional *,1 Kilogramos,1.20,1.51,1.54,1.54,1.29,1.51,1.52,1.51,1.52,1.27,1.27,1.54,1.54,1.54,1.54,1.54,1.52,1.54,1.54,1.54,1.54,1.50,1.50,1.46,1.47,1.54,1.54,1.54,1.52,1.54,1.54,1.54,1.54,1.54,1.54,1.44,1.47,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.52,1.54,1.54,1.54,1.54,1.52,1.52,1.46,1.46,1.46,1.46,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.51,,1.54,1.54,1.54,1.54,1.51,1.54
10,30,Pl tano Verde *,1 Unidades,0.38,0.26,0.30,0.26,0.26,0.26,0.27,0.25,0.27,0.26,0.26,0.22,0.27,0.22,0.27,0.26,0.27,0.26,0.27,0.27,0.27,0.22,0.27,0.26,0.27,0.25,0.27,0.26,0.27,0.26,0.27,0.26,0.25,0.20,0.27,0.26,0.33,0.25,0.25,0.26,0.27,0.26,0.27,0.26,0.27,0.26,0.27,0.26,0.27,0.25,0.27,0.26,0.27,0.26,0.27,0.27,0.27,0.25,0.25,0.24,0.27,0.26,0.22,0.26,0.27,0.26,0.27,0.25,0.27,0.27,0.27,0.32,,0.25,0.25,0.25,0.27,0.26,0.27
