,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA¥A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,,SUPER 99 TUMBA MUERTO,,XTRA TUMBA MUERTO,,EL MACHETAZO COSTA SUR,,EL MACHETAZO METRO MALL,,SUPER 99 LOS PUEBLOS,,SUPER 99 PEDREGAL,,SUPER 99 PLAZA TOCUMEN,,XTRA LAS ACACIAS,,XTRA LOS PUEBLOS,,REY CHANIS,,SUPER 99 CHANIS,,SUPER 99 PORTOBELO,,REY 12 DE OCTUBRE,,SUPER 99 VISTA HERMOSA,,CASA DE LA CARNE VIA PORRAS,,REY CALLE 50,,SUPER 99 SAN FRANCISCO,,SUPER 99 VÖA PORRAS,,EL FUERTE SAN MIGUELITO,,EL MACHETAZO SAN MIGUELITO,,REY BRISAS DEL GOLF,,REY VILLA LUCRE,,SUPER 99 BRISAS DEL GOLF,,SUPER 99 LOS ANDES,,SUPER 99 VILLA LUCRE,,XTRA MARKET  VILLA LUCRE,,XTRA OJO DE AGUA,,XTRA PAN DE AZéCAR,,EL MACHETAZO CALIDONIA,,EL MACHETAZO SANTA ANA,,REY BOMBERO SANTA ANA,,SUPER 99 LA CUCHILLA CALIDONIA,,SUPER 99 MA¥ANITAS,,EL FUERTE VILLA ZAITA,,REY MILLA 8,,SUPER 99 LA CABIMA,
10,31,Repollo Verde *,1 Kilogramos,1.61,1.40,1.54,3.08,1.49,1.49,1.49,1.54,1.62,1.47,1.38,2.40,1.49,1.45,1.62,1.49,1.49,1.49,1.49,1.49,2.68,1.47,1.43,1.47,1.43,1.30,1.64,1.49,1.49,1.49,1.49,1.30,1.62,1.49,1.49,1.60,1.62,1.54,1.64,1.49,1.49,1.49,1.49,1.25,1.25,1.45,1.45,1.30,1.64,1.30,1.64,1.49,1.49,1.98,1.98,1.49,1.49,2.50,2.13,1.38,1.23,1.32,1.23,1.40,1.62,1.45,1.45,1.40,1.62,1.49,1.49,1.49,,1.25,1.25,1.30,1.30,1.49,1.49
10,32,Tomate Nacional (Perita ¢ 3 x 3) *,1 Kilogramos,2.66,2.71,2.71,2.71,2.66,2.69,2.66,2.66,2.66,2.68,2.68,2.71,2.71,2.71,2.71,2.66,2.66,2.69,2.69,2.66,2.69,2.67,2.67,2.67,2.67,2.71,2.71,2.69,2.66,2.69,2.66,2.71,2.71,2.66,2.66,2.35,2.45,2.71,2.71,2.69,2.69,2.71,2.69,2.39,2.39,2.71,2.69,2.71,2.71,2.71,2.71,2.55,2.66,2.71,2.71,2.69,2.69,2.65,2.67,2.62,2.66,2.37,2.66,2.71,2.71,2.71,2.66,2.71,2.71,2.69,2.69,2.69,,2.64,2.64,2.71,2.71,2.66,2.10
10,33,Yuca *,1 Kilogramos,0.68,0.68,0.68,0.68,0.68,0.68,0.71,0.68,0.71,0.68,0.77,0.68,0.71,0.68,0.71,0.68,0.71,0.68,0.71,0.68,0.71,0.60,0.60,0.60,0.60,0.68,0.66,0.68,0.71,0.68,0.71,0.65,0.66,0.68,0.71,0.84,0.84,0.68,0.83,0.68,0.71,0.68,0.71,0.68,0.71,0.68,0.71,0.68,0.66,0.65,0.65,0.68,0.71,0.68,0.71,0.68,0.71,0.63,0.63,0.68,0.71,0.83,0.83,0.68,0.71,0.68,0.71,0.68,0.71,0.68,0.71,0.68,,0.68,0.71,0.66,0.66,0.68,0.71
10,34,Zanahoria *,1 Kilogramos,1.50,1.61,2.35,2.35,1.64,1.64,1.64,1.64,1.64,1.62,1.47,1.49,1.69,1.45,1.69,1.64,1.64,1.64,1.64,1.64,1.64,1.39,1.39,1.39,1.39,1.61,1.64,1.64,1.64,1.64,1.64,1.83,1.83,1.64,1.64,1.61,1.50,1.72,1.72,1.64,1.64,1.64,1.64,1.50,1.50,1.49,1.69,1.61,1.61,1.61,1.61,1.64,1.64,1.64,1.64,1.64,1.64,1.62,1.39,0.79,1.64,1.46,1.39,1.49,1.49,1.48,1.49,1.61,1.61,1.64,1.64,1.64,,1.50,1.64,1.52,1.52,1.61,1.64
4,35,Frijoles Chiricanos *,1 Kilogramos,2.54,2.84,3.02,3.00,2.62,2.54,2.43,2.43,2.43,1.98,1.98,2.84,2.40,2.36,2.36,2.43,2.54,2.43,2.62,2.43,2.54,2.14,2.54,2.29,2.16,2.98,2.84,2.43,2.54,2.43,2.62,2.54,2.84,2.84,2.62,2.82,2.82,3.06,3.06,2.43,2.54,2.43,2.62,2.18,2.18,2.84,2.40,2.98,2.98,2.54,2.84,2.54,2.84,2.43,2.43,2.54,2.43,2.47,2.57,2.47,2.03,2.03,1.92,2.31,2.36,2.36,2.36,2.54,2.57,2.84,2.84,2.54,,2.36,2.76,2.54,2.57,2.43,2.62
4,36,Lentejas *,1 Kilogramos,1.54,1.52,1.61,1.61,1.52,1.52,1.52,1.54,1.52,1.57,2.34,1.34,1.52,1.74,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.30,1.46,1.46,1.30,1.52,1.52,1.52,1.52,1.52,1.52,2.43,2.20,1.61,1.52,1.61,1.61,1.52,1.74,1.43,1.43,1.52,1.52,1.61,1.43,1.34,1.34,1.65,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.61,1.52,1.54,1.98,1.90,1.30,1.50,1.30,1.34,1.52,1.54,1.34,1.52,1.52,1.52,1.52,1.19,,1.43,1.43,1.52,1.52,1.52,1.52
4,37,Porotos Rojos *,1 Kilogramos,2.07,2.31,2.12,2.12,1.96,1.96,1.92,1.92,1.92,1.87,1.87,2.16,2.65,1.87,2.65,1.92,1.92,1.92,1.92,1.96,1.92,1.87,1.87,1.87,1.87,2.43,2.87,1.92,1.92,1.92,1.96,2.76,2.87,1.96,2.82,2.09,2.12,2.87,2.62,1.92,1.92,1.92,1.92,2.05,2.05,1.87,2.65,2.07,2.76,2.16,2.87,2.07,1.96,1.92,1.92,1.96,2.12,1.98,2.12,2.05,1.83,1.81,1.83,1.87,2.16,2.12,2.16,2.87,2.87,1.96,1.92,1.92,,2.12,2.12,2.65,2.87,1.92,1.92
11,38,Guineos *,1 Kilogramos,1.00,0.86,1.10,1.10,0.99,0.99,0.99,0.97,0.98,0.87,0.97,0.97,0.98,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.97,0.97,0.97,0.97,0.90,0.99,0.99,0.99,0.99,0.99,0.94,0.94,0.99,0.99,0.97,1.01,0.94,0.94,0.97,0.99,0.99,0.99,0.94,0.94,0.95,0.95,0.97,0.94,0.95,0.95,0.97,0.98,0.99,0.99,0.99,0.99,0.88,0.98,0.97,0.97,0.93,0.98,0.98,0.98,0.89,0.89,0.97,0.98,0.97,0.98,0.99,,0.99,0.99,0.94,0.94,0.99,0.99
11,39,Manzana Roja Mediana *,1 Unidades,0.41,0.41,0.41,0.45,0.41,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.41,0.35,0.36,,0.41,0.35,0.41,0.35,0.41,0.35
11,40,Naranja de Jugo *,1 Kilogramos,0.84,0.84,0.95,0.95,0.85,0.85,0.86,0.85,0.86,0.72,0.72,0.84,0.95,0.84,0.95,0.85,0.85,0.85,0.85,0.85,0.85,0.84,0.72,0.72,0.72,0.84,0.84,0.84,0.86,0.84,0.85,0.84,0.86,0.85,0.85,0.76,0.86,0.84,0.86,0.85,0.95,0.84,0.86,0.99,0.99,0.95,0.95,0.84,0.86,0.84,0.86,0.84,0.85,0.85,0.86,0.85,0.85,0.72,0.73,0.55,0.86,0.53,0.75,0.95,0.95,0.95,0.95,0.84,0.86,0.84,0.85,0.85,,0.99,0.86,0.84,0.86,0.85,0.85
11,41,Pi¤a *,1 Kilogramos,0.96,0.96,1.26,0.90,0.96,0.95,0.95,0.96,0.95,0.96,0.95,0.95,0.85,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.96,0.95,0.96,0.95,0.96,0.95,0.96,0.95,0.95,0.95,0.96,0.95,0.96,0.95,0.96,0.95,0.96,0.95,0.85,0.95,0.96,0.95,0.87,0.87,0.95,0.95,0.96,0.95,0.96,0.95,0.96,0.95,1.15,1.15,0.96,0.95,0.96,0.95,0.96,0.95,0.96,0.95,0.95,0.95,0.95,0.95,0.96,0.95,0.88,0.95,0.95,,0.96,0.95,0.96,0.95,0.96,0.95
6,42,Aceite Vegetal Nacional *,"1,42 Litros",3.85,2.00,3.48,3.48,2.79,2.15,2.39,2.79,2.39,1.98,2.55,2.95,2.48,2.79,2.77,2.39,2.55,2.39,2.95,2.54,2.95,1.98,1.98,1.97,1.97,3.15,2.25,2.99,3.15,2.79,2.39,3.15,2.25,2.67,2.39,3.30,3.14,3.15,3.75,2.39,2.39,2.95,2.39,2.19,2.18,2.49,2.52,1.95,2.25,2.69,2.25,2.79,2.55,1.99,2.95,2.95,2.39,1.98,1.98,1.97,2.07,2.13,2.13,2.19,2.52,2.50,2.52,3.15,2.55,2.79,2.39,2.67,,2.49,2.49,3.15,2.35,4.09,2.39
6,43,Margarina en barra*,1 Kilogramos,2.67,2.43,2.87,2.98,2.62,2.62,2.43,2.62,2.43,2.65,2.43,2.84,2.76,2.84,2.76,2.43,2.54,2.62,2.54,2.62,2.54,2.62,2.54,2.62,2.62,2.69,2.58,2.62,2.62,2.62,2.62,3.73,2.43,2.62,2.58,2.67,2.67,2.82,2.31,2.62,2.62,2.65,2.62,2.58,2.43,2.76,2.58,2.43,2.31,2.58,2.58,2.62,2.43,2.62,2.62,2.62,2.62,2.62,2.62,2.43,2.43,2.65,2.65,2.76,2.43,2.76,2.65,3.04,2.98,2.84,2.43,2.82,,2.58,2.58,2.58,2.31,2.62,2.43
1,44,Leche en Polvo entera instant nea *,360 Gramos,3.26,3.75,3.76,3.76,1.99,1.99,3.75,3.39,1.99,2.93,2.93,3.42,3.76,3.74,3.74,1.99,2.95,3.10,3.49,3.39,3.39,3.37,3.27,3.37,3.43,3.31,3.72,3.39,3.49,3.39,1.99,3.31,3.31,3.39,3.10,3.76,3.76,3.32,3.76,1.99,1.99,3.39,1.99,2.98,2.98,3.69,3.75,3.75,3.75,3.31,3.31,3.49,3.49,2.95,3.39,3.26,3.10,3.33,3.70,2.96,3.71,2.96,3.25,3.72,3.72,3.75,3.75,3.72,3.75,3.39,1.99,3.39,,2.98,3.75,3.31,3.31,3.39,3.10
1,45,Leche Evaporada *,167 Gramos,0.51,0.47,0.67,0.67,0.49,0.49,0.68,0.49,0.49,0.43,0.43,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.39,0.43,0.39,0.43,0.45,0.45,0.49,0.49,0.49,0.68,0.45,0.45,0.49,0.49,0.55,0.55,0.45,0.45,0.49,0.49,0.49,0.49,0.48,0.48,0.49,0.59,0.47,0.47,0.45,0.45,0.49,0.49,0.49,0.49,0.49,0.49,0.45,0.45,0.46,0.46,0.42,0.42,0.49,0.49,0.47,0.49,0.55,0.65,0.68,0.49,0.49,,0.48,0.48,0.45,0.45,0.49,0.49
1,46,Leche Fresca y Pasteurizada *,946 Mililitros,1.49,1.35,1.49,1.49,1.35,1.35,1.35,1.35,1.35,1.33,1.33,1.39,1.49,1.39,1.35,1.35,1.25,1.35,1.25,1.35,1.25,1.27,1.27,1.33,1.33,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.66,1.55,1.36,1.35,1.35,1.25,1.35,1.35,1.31,1.31,1.35,1.49,1.35,1.35,1.35,1.35,1.35,1.25,1.35,1.35,1.36,1.35,1.35,1.35,1.23,1.28,1.25,1.25,1.33,1.39,1.39,1.39,1.35,1.35,1.35,1.35,1.35,,1.33,1.33,1.35,1.35,1.35,1.35
1,47,Queso Amarillo *,1 Kilogramos,6.61,6.61,6.61,6.61,6.21,6.21,6.61,6.21,6.65,6.19,6.59,6.60,6.60,6.39,6.47,6.21,6.21,6.21,6.21,6.39,6.47,6.39,6.53,6.19,6.19,6.39,6.61,6.61,6.21,6.21,6.21,6.39,6.61,6.21,6.61,6.61,6.61,6.39,6.47,6.21,6.21,6.61,6.21,6.59,6.61,6.60,6.47,6.61,6.61,6.39,6.61,6.21,6.21,6.21,6.61,6.39,6.21,6.19,6.59,6.19,6.19,6.19,6.19,6.60,6.47,6.60,6.47,6.61,6.47,6.21,6.61,6.21,,6.61,6.61,6.61,6.61,6.21,6.61
1,48,Queso Blanco Prensado Bajo en Sal *,1 Kilogramos,11.49,11.30,15.20,15.20,11.00,11.19,11.00,11.30,9.95,10.97,10.97,11.30,15.25,9.89,11.57,11.00,11.00,10.49,11.00,11.30,11.57,10.25,11.03,10.25,10.63,11.30,11.39,11.49,11.49,11.49,11.57,11.30,11.39,11.00,14.49,14.86,11.57,10.89,11.57,11.30,11.00,11.49,11.00,11.30,10.31,10.58,10.95,11.30,11.57,11.30,11.57,11.49,11.00,11.00,11.00,11.30,11.57,10.92,11.57,10.21,11.57,10.28,10.28,9.89,11.75,11.75,11.57,11.30,10.89,11.19,11.57,11.30,,10.31,11.57,10.89,10.94,11.00,11.57
13,49,Huevos Medianos de Gallina *,1 Docena,1.87,1.85,1.87,1.87,1.87,1.87,1.87,1.87,1.79,1.85,1.76,1.87,1.87,1.87,1.87,1.79,1.87,1.79,1.79,1.87,1.79,1.81,1.85,1.85,1.67,1.50,1.70,1.87,1.79,1.87,1.79,1.85,1.79,1.87,1.87,1.87,1.87,1.81,1.68,1.87,1.87,1.79,1.87,1.69,1.60,1.81,1.87,1.50,1.68,1.87,1.75,1.81,1.87,1.87,1.79,1.87,1.87,1.81,1.66,1.61,1.65,1.64,1.58,1.69,1.79,1.81,1.87,1.85,1.85,1.87,1.79,1.87,,1.87,1.77,1.50,1.70,1.87,1.79
12,50,Az£car Morena *,1 Kilogramos,1.06,1.06,1.06,1.06,1.06,1.06,1.23,1.06,1.13,1.26,1.26,1.06,1.22,1.06,1.22,1.06,1.22,1.06,1.13,1.06,1.13,0.95,0.99,0.95,0.95,1.06,1.22,1.06,1.13,1.06,1.23,1.06,1.17,1.06,1.13,1.06,1.54,1.06,1.37,1.06,1.22,1.06,1.23,1.06,1.22,1.06,1.50,1.06,1.22,1.06,1.23,1.06,1.13,1.06,1.22,1.06,1.22,1.06,1.33,0.95,0.95,1.21,1.21,1.06,1.22,1.06,1.22,1.06,1.22,1.06,1.30,1.06,,1.06,1.25,1.06,1.23,1.06,1.13
8,51,Caf‚ Molido Tradicional *,425 Gramos,5.45,5.00,3.94,3.94,4.07,3.45,3.45,2.49,4.07,2.80,4.05,4.05,4.05,4.05,4.05,3.45,3.45,3.45,3.45,4.07,4.07,3.04,2.79,2.79,2.79,5.49,5.09,4.07,4.07,4.07,3.45,5.00,4.05,4.07,5.29,5.45,3.95,4.05,4.05,4.07,5.29,4.07,4.99,3.09,2.79,4.05,4.89,5.19,4.05,4.05,4.05,3.45,4.07,2.81,2.81,4.07,4.07,4.01,4.01,3.08,2.78,2.77,2.77,2.94,4.05,4.05,4.05,4.05,3.95,4.07,5.29,4.99,,2.94,2.94,4.05,4.05,2.81,4.07
8,52,Jugo de Naranja *,946 Mililitros,1.20,1.39,1.46,1.46,1.05,1.05,1.20,1.05,1.29,1.05,1.27,1.05,1.20,1.05,1.05,1.05,1.29,1.05,1.29,1.05,1.29,1.27,1.27,1.25,1.25,1.36,1.39,1.05,1.05,1.05,1.05,1.39,1.20,1.05,1.20,1.25,1.25,1.05,1.39,1.05,1.29,1.20,1.20,1.05,1.05,1.25,1.08,1.39,1.39,1.39,1.39,1.05,1.29,1.05,1.05,1.05,1.05,1.27,1.05,1.18,1.05,1.05,1.05,1.05,1.05,1.17,1.05,1.39,1.39,1.05,1.05,1.17,,1.17,1.05,1.05,1.39,1.29,1.05
8,53,Mayonesa *,15 Onzas,2.48,2.15,2.55,2.55,2.45,2.49,2.49,2.49,2.49,2.44,2.48,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,1.98,2.08,1.98,1.98,2.79,2.15,2.49,2.49,2.49,2.49,2.15,2.15,2.49,2.49,2.48,2.48,2.30,2.30,2.49,2.45,2.49,2.45,2.48,2.48,2.49,2.49,2.15,2.15,2.15,2.67,2.49,2.49,2.49,2.49,2.49,2.49,2.10,2.40,2.13,2.13,1.97,2.40,2.49,2.49,2.49,2.49,2.25,2.25,2.45,2.49,2.40,,2.39,2.48,2.79,2.15,2.49,2.49
8,54,Pasta de Tomate *,113 Gramos,0.79,0.45,0.65,0.65,0.36,0.36,0.35,0.35,0.85,0.27,0.27,0.49,0.43,0.49,0.43,0.49,0.35,0.85,0.35,0.35,0.29,0.33,0.33,0.33,0.33,0.45,0.45,0.35,0.49,0.35,0.29,0.65,0.40,0.65,0.36,0.62,0.45,0.47,0.69,0.35,0.49,0.49,0.35,0.50,0.35,0.43,0.43,0.50,0.40,0.60,0.45,0.35,0.29,0.49,0.35,0.35,0.36,0.34,0.40,0.27,0.27,0.35,0.35,0.43,0.43,0.49,0.43,0.65,0.50,0.65,0.49,0.35,,0.50,0.41,0.45,0.45,0.35,0.49
8,55,Sal  *,1 Kilogramos,0.55,0.55,0.55,0.66,0.55,0.55,0.86,0.55,0.64,0.55,0.62,0.60,0.55,0.66,0.57,0.55,0.55,0.55,0.55,0.55,0.55,0.51,0.51,0.51,0.51,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.46,0.60,0.55,0.55,0.55,0.55,0.55,0.55,0.49,0.49,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.64,0.51,0.51,0.44,0.44,0.44,0.44,0.60,0.55,0.64,0.57,0.55,0.62,0.55,0.55,0.64,,0.49,0.49,0.55,0.55,0.55,0.64
8,56,Salsa de Tomate *,113 Gramos,0.43,0.50,0.65,0.65,0.35,0.35,0.35,0.35,0.35,0.27,0.27,0.49,0.43,0.49,0.43,0.35,0.29,0.35,0.35,0.49,0.29,0.33,0.33,0.33,0.33,0.43,0.50,0.35,0.35,0.35,0.35,0.45,0.43,0.35,0.36,0.45,0.50,0.43,0.50,0.35,0.49,0.49,0.35,0.50,0.79,0.43,0.43,0.50,0.42,0.65,0.50,0.35,0.29,0.35,0.35,0.35,0.35,0.47,0.52,0.27,0.27,0.33,0.33,0.43,0.43,0.48,0.43,0.65,0.50,0.49,0.49,0.30,,0.50,0.50,0.65,0.42,0.35,0.49
8,57,Soda en envase pl stico *,1 Litros,1.20,1.05,1.14,1.24,1.20,1.20,1.20,1.04,1.20,1.10,1.18,1.20,1.25,1.15,1.20,1.20,1.10,1.20,1.10,1.20,1.10,1.16,1.18,1.18,1.18,1.25,1.25,1.20,1.10,1.20,1.20,1.04,1.25,1.20,1.50,1.20,1.20,1.20,1.05,1.20,1.20,1.20,1.20,1.13,1.13,1.25,1.20,1.05,1.50,0.98,1.20,1.04,1.10,1.20,1.04,1.10,1.20,1.08,1.18,0.96,1.03,1.11,1.07,1.25,1.25,1.25,1.25,1.20,1.20,1.10,1.20,1.50,,1.13,1.13,1.04,1.50,1.10,1.20
8,58,Sopa Deshidratada (Pollo y Fideos) *,60 Gramos,0.48,0.45,0.48,0.48,0.45,0.42,0.42,0.49,0.49,0.40,0.40,0.59,0.40,0.57,0.57,0.42,0.42,0.42,0.62,0.42,0.42,0.42,0.42,0.42,0.35,0.45,0.50,0.39,0.49,0.44,0.42,0.65,0.50,0.62,0.42,0.59,0.45,0.65,0.45,0.42,0.44,0.42,0.44,0.60,0.40,0.49,0.40,0.45,0.50,0.50,0.50,0.42,0.42,0.42,0.44,0.42,0.42,0.60,0.60,0.48,0.38,0.30,0.41,0.40,0.40,0.43,0.40,0.65,0.50,0.42,0.42,0.39,,0.46,0.60,0.60,0.50,0.42,0.42
8,59,Te Negro *,36 Gramos,0.88,0.95,0.93,0.93,0.95,0.99,0.99,0.95,0.99,0.94,0.95,0.93,0.94,0.93,0.98,0.95,0.95,0.93,0.95,0.93,0.99,0.84,0.84,0.91,0.91,0.93,0.95,0.95,0.95,0.95,0.99,0.95,0.99,0.95,0.99,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.90,0.90,0.89,0.89,0.93,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.93,0.93,0.88,0.89,0.87,0.87,0.93,0.93,0.93,0.93,0.93,0.94,0.98,0.95,0.95,,0.90,0.90,0.88,0.95,0.95,0.95
,,Costo Total,,284.60,272.72,303.75,311.86,257.33,260.41,261.20,262.20,254.91,252.53,250.70,269.44,268.72,269.60,263.67,249.36,252.09,255.17,257.08,264.35,255.36,250.30,242.85,253.56,248.73,267.44,264.41,262.66,264.35,256.95,251.44,270.99,261.79,264.82,262.58,290.72,274.02,268.49,270.57,250.43,256.77,263.13,258.48,255.39,253.11,267.35,269.35,267.50,264.40,267.57,268.86,260.08,257.62,258.26,255.98,267.88,255.67,258.22,260.67,243.87,240.47,242.28,244.66,263.03,267.03,270.00,267.77,274.40,267.00,271.97,258.27,266.12,,261.11,255.38,267.30,267.20,263.17,268.06
