,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
•ame Diamante *,1 Kilogramos,,0.88,,0.88,,0.85,,0.85,0.83,0.88,0.88,0.85,0.85,0.85,0.69,,0.88,,,0.88,0.85,,,,,0.89,0.88,0.88,0.88,0.85,,,0.86,0.83,0.85,0.88,0.88,0.88,0.85,0.86,,0.77,0.88,0.88,0.88,0.85,0.85,0.85,0.83,,0.83,,,,,,,,,,,,0.88,,0.88,,0.88,,,0.62,,,0.88,,,,,0.88,,,,,,,,0.88,0.88,0.77,,0.77
Papa Nacional *,1 Kilogramos,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.27,1.54,,1.29,1.54,1.29,0.97,1.27,1.54,,1.29,1.54,1.29,1.54,1.54,1.54,1.54,1.49,1.54,1.54,1.54,1.54,1.54,1.54,1.50,1.50,1.50,1.54,1.54,1.54,1.29,1.50,1.54,1.54,1.21,1.21,1.54,1.54,1.54,1.54,1.11,1.07,1.52,1.32,,1.54,1.32,1.54,1.54,,1.54,1.54,1.54,1.32,1.54,,1.54,1.76,1.32,,,1.32,1.32,,,1.32,1.54,1.32,1.32,,,1.32,1.10,,,1.54,1.54,1.32,1.54,1.08,1.08,1.30
Pl†tano Verde *,1 Unidades,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,,0.55,0.40,0.35,,0.50,0.40,0.35,0.35,0.34,0.35,0.45,,,,,0.35,0.35,,0.40,0.40,0.40,0.40,0.35,0.35,,,0.25,,0.35,0.40,0.45,0.25,0.35,0.25,,0.20
Repollo Verde *,1 Kilogramos,1.76,2.00,,3.08,,2.25,1.89,1.89,1.70,,,1.89,1.89,1.89,1.70,,1.78,1.89,1.89,2.00,1.89,,,1.89,2.57,2.09,2.35,1.78,1.78,1.89,1.89,1.89,2.33,1.70,2.07,2.29,2.29,1.78,1.89,1.87,4.05,1.87,2.10,2.10,1.55,1.89,1.89,1.98,1.31,,1.67,2.20,2.20,2.76,2.76,2.20,2.20,,2.76,2.20,2.20,2.20,2.20,,2.20,2.09,2.20,,,1.76,1.65,,2.65,,2.76,2.20,,2.20,,2.76,1.98,,,2.76,2.20,1.65,2.76,1.96,1.96,2.20
Tomate Nacional (Perita ¢ 3 x 3) *,1 Kilogramos,2.60,2.71,2.71,2.71,2.71,2.71,2.59,2.69,2.57,,,2.59,2.59,2.59,2.57,2.57,2.71,2.59,2.59,2.71,2.69,,,2.69,2.69,,2.71,2.71,2.71,2.59,2.59,2.59,2.67,2.27,2.27,2.71,2.71,,2.59,2.65,2.71,2.18,1.98,2.71,2.71,2.69,2.29,2.29,2.27,,2.27,2.71,,2.71,2.71,3.31,,,2.71,2.71,,,2.71,,2.71,2.65,3.31,,,,2.20,,2.20,2.20,2.71,2.71,2.71,2.71,,,,,,2.71,2.71,2.20,2.71,2.71,2.18,2.20
Yuca *,1 Kilogramos,0.84,,,,,,,,0.82,,,,,,0.56,0.54,0.66,,,,,0.84,,,,0.68,,0.66,0.66,,,,0.64,0.70,0.66,,,0.66,,0.73,0.66,,,,0.66,,,,0.67,0.64,0.67,,,,,,,,,,0.77,,,,,---,---,,,,,,,,,,0.55,,,,,,,,,1.65,,0.64,0.64,0.84
Zanahoria *,1 Kilogramos,1.80,1.67,2.35,2.32,2.15,1.75,1.75,1.99,1.65,1.49,2.09,1.75,1.99,1.75,1.97,,1.67,1.75,1.75,1.67,1.75,2.05,1.32,1.99,1.99,1.69,2.09,1.67,1.32,1.75,1.75,1.83,1.65,1.83,1.67,2.09,2.09,1.67,1.75,1.85,1.32,1.98,1.65,1.65,1.32,1.85,1.99,1.99,1.45,,1.46,2.76,3.31,2.43,2.76,2.20,2.20,,2.20,2.20,2.20,2.20,1.98,,2.20,2.43,2.20,,,1.76,1.65,,3.31,1.65,2.76,2.20,1.65,2.20,,,1.87,,,3.31,3.31,,,2.40,2.40,1.87
Frijoles Chiricanos *,1 Kilogramos,2.93,2.98,,3.40,2.98,2.54,2.84,2.84,,,,2.54,2.54,2.54,2.03,,,2.84,2.84,2.98,2.54,,,2.54,2.54,2.18,,2.98,,2.54,2.09,3.09,2.14,,2.14,2.36,2.40,,2.84,2.18,,,2.36,2.76,2.98,2.54,2.62,2.84,2.16,,2.14,,,3.42,,,3.31,,,,,,,,,,,,,3.09,,,3.31,,,,3.31,,,,,,,3.31,3.42,,,2.62,3.06,3.20
Lentejas *,1 Kilogramos,1.61,1.65,1.61,1.61,1.52,1.39,1.39,1.39,1.57,1.43,1.43,1.61,1.61,1.39,1.26,1.26,1.65,1.39,1.30,1.65,1.30,1.61,1.74,1.39,1.39,1.28,1.43,1.52,1.52,1.39,1.61,1.61,1.48,1.23,1.85,1.30,1.30,1.52,1.52,1.28,1.65,1.52,0.99,1.65,1.65,1.61,1.08,1.08,0.95,1.48,0.95,1.65,1.59,2.20,2.76,2.20,2.20,,1.87,1.65,1.87,1.65,1.87,1.76,1.87,2.20,1.65,,1.87,1.65,1.87,1.65,2.76,1.87,2.20,,1.61,1.87,,1.65,,1.61,,1.87,1.65,1.87,1.61,1.39,1.39,1.87
Porotos Rojos *,1 Kilogramos,2.49,2.62,2.12,2.12,2.76,2.12,2.12,2.43,2.07,2.84,,2.43,2.43,2.43,2.12,2.12,2.76,2.16,2.16,2.62,2.12,2.12,2.87,2.43,2.43,2.36,2.76,2.87,2.62,2.16,2.09,2.16,2.07,2.07,1.83,2.16,2.16,2.09,2.18,2.56,2.09,2.12,2.16,2.16,2.09,2.43,2.43,2.16,2.31,2.34,2.09,2.98,,2.76,3.31,2.98,,,2.76,2.76,2.76,2.98,2.54,2.98,2.87,,2.54,,2.65,2.76,2.76,2.20,2.76,2.76,2.98,2.54,2.76,2.65,,,,2.76,3.20,2.76,2.54,,2.98,2.40,2.62,2.98
Guineos *,1 Kilogramos,1.01,0.95,1.10,1.10,0.99,0.99,,0.99,0.97,0.99,0.99,,0.99,0.99,0.97,0.97,0.99,0.99,0.99,0.95,0.99,,0.99,0.99,0.99,0.93,0.95,0.98,0.99,0.99,0.99,0.99,0.97,0.96,,0.98,0.98,0.95,,0.97,0.99,0.99,0.94,0.96,0.95,0.99,0.99,0.99,0.97,0.97,0.91,1.21,,1.21,1.32,1.10,1.10,,1.10,1.10,,,,,1.10,,1.10,,,,,,1.10,1.10,1.10,1.10,1.10,1.10,,,,,,1.10,1.10,1.10,1.10,0.92,0.77,1.10
Manzana Roja Mediana *,1 Unidades,,,,0.45,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,0.35,,,,,,,,,,,,0.50,0.50,0.50,0.65,0.50,0.60,,0.60,0.50,,0.50,0.50,,0.50,0.50,0.50,,,0.50,,,0.50,0.50,0.50,0.50,0.35,0.50,,,0.50,,0.60,0.50,0.50,,0.35,,,0.50
Naranja de Jugo *,1 Kilogramos,,,,,,1.09,,1.09,0.80,0.69,,,1.09,1.09,0.80,,,0.95,0.95,,,,,1.09,1.09,0.79,,,,1.09,0.95,1.09,0.80,0.95,,0.95,0.95,,,0.97,,1.09,,0.69,,,,,1.07,0.73,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pi§a *,1 Kilogramos,,,,,,1.05,0.89,1.05,,,,,1.05,,,,,,0.77,,1.05,,,1.05,,0.79,,,,,1.05,1.05,,,,0.99,,,0.89,0.79,,1.05,,0.79,,1.05,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite Vegetal Nacional *,"1,42 Litros",3.92,3.15,3.34,3.55,2.30,2.39,2.39,2.39,2.23,2.19,2.95,3.05,2.39,2.39,2.13,2.13,3.15,3.05,3.05,3.15,2.39,3.92,3.15,3.05,3.05,2.15,2.19,2.65,2.30,3.05,2.15,2.25,2.23,2.13,2.13,2.39,2.19,2.30,2.15,2.29,3.15,3.05,2.95,2.95,3.35,3.05,3.05,3.05,,3.18,2.16,,,3.55,,,3.75,,3.75,,,,,4.50,,,3.50,3.95,,,3.85,,,,3.25,3.00,,,,,,,,2.95,3.45,3.85,3.35,2.87,2.87,3.95
Margarina en barra*,1 Kilogramos,,2.89,2.95,2.95,2.89,,2.84,2.89,2.58,,2.87,2.84,2.84,2.84,2.62,3.88,2.67,2.62,2.62,2.89,2.84,2.84,2.89,2.84,2.84,2.67,2.87,2.89,3.02,2.84,2.84,2.62,2.65,2.91,2.62,2.87,2.87,2.84,2.84,2.71,2.84,2.84,2.87,2.87,2.82,2.62,2.84,2.65,2.54,2.54,2.65,5.73,3.97,4.30,,5.29,4.85,3.86,4.41,4.41,5.29,4.41,4.41,4.41,4.41,4.85,,4.41,4.41,4.41,3.53,,4.41,4.41,4.85,5.51,4.85,4.85,,5.73,4.08,3.86,4.41,3.86,,,,2.84,2.87,3.20
Leche en Polvo entera instant†nea *,360 Gramos,3.76,3.31,3.76,3.76,3.31,2.79,2.55,2.89,2.87,3.45,3.45,2.89,2.79,2.79,2.96,2.96,3.31,2.89,2.89,3.31,2.79,3.76,3.32,2.89,2.89,2.98,3.45,3.31,3.31,2.89,2.89,3.75,3.23,2.10,2.96,3.45,3.75,3.72,2.79,2.92,3.31,3.25,2.89,2.89,3.72,,3.25,,2.96,2.96,2.96,,,3.76,,3.76,3.76,,3.76,3.76,,3.76,3.75,,3.76,3.76,3.76,,,3.76,,,3.75,3.76,3.76,3.76,3.76,3.76,,,,,,3.76,3.75,3.76,3.75,3.57,3.76,
Leche Evaporada *,167 Gramos,0.51,0.49,0.48,0.67,0.49,0.49,0.49,0.49,0.47,0.45,0.48,0.49,0.49,0.49,0.46,0.43,0.49,0.49,0.49,0.49,0.49,0.51,0.49,0.49,0.49,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.47,0.46,0.46,0.48,0.48,0.63,0.49,0.71,,0.68,0.47,0.47,0.48,0.49,0.49,0.49,0.45,0.41,0.45,0.75,0.80,0.75,0.75,0.75,0.75,0.75,0.60,0.75,0.75,0.60,0.65,0.75,0.55,0.70,0.60,0.70,0.75,0.75,0.70,,0.75,0.70,0.60,0.60,0.75,0.75,0.75,0.65,0.65,0.75,0.75,0.69,0.70,0.75,0.70,0.49,0.49,0.60
Leche Fresca y Pasteurizada *,946 Mililitros,,1.32,1.49,1.49,1.32,1.35,1.35,1.35,1.43,1.49,1.35,1.35,1.35,1.35,1.27,1.33,1.45,1.35,1.35,1.32,1.35,1.55,1.32,1.35,1.35,1.31,1.32,1.32,1.35,1.35,1.35,1.35,1.33,1.31,1.49,,1.49,1.34,1.35,1.33,1.32,1.35,1.35,1.35,1.29,1.35,1.35,1.35,1.27,1.30,1.33,1.65,,1.55,1.75,1.50,1.60,1.30,1.60,1.30,1.65,1.35,1.65,1.60,,1.65,1.55,1.50,1.60,1.60,1.50,,1.55,1.40,1.50,1.55,1.50,1.50,1.50,1.50,1.60,,,1.50,1.50,,1.35,1.45,1.45,1.60
Queso Amarillo *,1 Kilogramos,6.61,6.61,6.61,6.61,,6.21,6.21,6.21,6.19,6.60,6.61,6.21,6.61,,6.52,6.19,6.61,6.61,6.21,6.61,6.21,6.61,6.61,6.61,6.61,6.61,6.60,6.61,,6.21,6.21,6.21,6.19,6.19,6.19,6.60,6.60,6.61,6.21,6.59,6.61,6.21,6.60,6.60,6.61,6.21,6.21,6.21,6.19,,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queso Blanco Prensado Bajo en Sal *,1 Kilogramos,,,,,14.49,11.49,,10.99,11.46,,,,11.49,11.49,10.25,10.86,,,11.49,,11.49,,,11.49,11.49,10.93,11.49,11.79,11.79,11.49,,11.49,13.95,10.90,10.84,9.89,11.49,,11.49,,,,11.95,11.75,11.99,14.99,10.57,11.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huevos Medianos de Gallina *,1 Docena,1.87,1.80,1.87,1.87,1.68,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.79,1.73,1.68,1.70,1.75,1.75,1.85,1.75,1.87,1.85,1.79,,1.60,1.68,1.70,1.68,1.75,1.75,1.75,1.68,1.73,1.73,1.68,1.68,1.68,1.75,1.60,,1.75,1.78,1.78,1.85,1.75,1.87,1.75,1.73,1.81,1.73,,2.40,,,2.40,2.40,2.40,2.40,2.40,2.40,,2.40,1.80,2.40,2.40,2.40,2.40,2.40,,2.40,1.80,2.40,2.40,2.40,2.40,2.40,2.40,,,,4.20,2.40,,,,,1.99,1.99,
Az£car Morena *,1 Kilogramos,1.52,1.50,1.48,1.41,1.23,,,,1.28,1.50,1.50,1.12,1.12,,1.08,1.46,1.23,1.12,1.12,1.37,,1.54,1.08,1.15,1.30,1.12,1.50,,,1.12,,,0.97,1.28,0.95,1.50,1.50,1.26,,1.12,1.26,0.99,,,,,,,1.15,1.01,1.15,,1.50,1.63,,1.74,1.63,,1.63,,1.63,1.63,1.63,1.50,1.63,1.87,1.63,1.63,1.74,1.63,1.63,1.63,1.74,1.63,1.63,1.63,1.74,1.74,1.43,1.63,,1.50,1.74,1.26,1.74,1.43,1.43,,,
CafÇ Molido Tradicional *,425 Gramos,5.45,5.30,3.94,3.94,4.75,4.75,4.75,4.75,2.80,4.75,,4.75,3.45,4.75,2.79,2.79,4.75,2.81,3.45,5.30,4.75,5.45,4.75,4.75,4.75,2.79,4.75,4.75,4.75,3.45,3.05,3.45,3.41,2.77,2.92,2.94,2.94,5.30,4.75,2.94,5.30,4.99,4.25,2.94,4.75,2.81,3.45,2.80,2.79,2.77,2.79,5.75,5.90,5.95,6.95,,5.25,,5.50,5.25,,5.50,5.50,5.50,,,5.50,,5.60,,,5.65,5.50,,5.75,5.25,,,,5.50,,4.95,,5.35,5.50,5.35,5.95,4.19,3.45,5.25
Jugo de Naranja *,946 Mililitros,,1.29,,1.28,1.35,1.29,1.29,1.29,1.27,1.29,1.29,1.29,1.29,1.29,1.33,1.33,,1.30,1.29,1.29,1.29,1.31,1.29,1.29,1.29,1.27,1.29,1.29,1.29,1.29,1.29,1.29,1.33,1.25,1.25,1.27,1.29,1.35,1.29,1.18,1.26,1.15,,1.29,1.29,1.29,1.96,1.29,1.25,,1.25,1.45,1.40,1.35,1.50,1.35,1.35,1.25,1.35,1.30,1.25,1.35,1.25,1.40,1.35,1.25,1.35,1.25,1.35,1.25,1.25,,1.25,1.25,1.35,1.00,1.25,1.25,1.25,1.25,,1.25,1.35,1.35,1.35,1.35,1.00,1.29,1.29,1.00
Mayonesa *,15 Onzas,1.99,1.99,2.05,2.05,1.95,1.99,1.99,1.99,1.97,1.98,2.49,1.99,1.99,1.99,1.96,1.96,1.99,1.99,1.99,1.99,2.30,1.99,1.99,1.99,1.99,1.99,1.98,1.99,1.99,1.99,2.45,1.99,1.97,1.97,1.96,1.98,1.98,,2.30,1.99,2.45,1.99,,,,,,,,,,2.85,,3.25,,2.50,2.75,,2.75,2.55,,,2.65,,,2.65,,,,2.60,2.50,,3.00,2.85,,2.50,2.75,2.75,,2.75,2.65,,,2.35,2.65,2.50,2.95,,,
Pasta de Tomate *,113 Gramos,0.50,0.50,0.45,0.45,0.50,0.35,0.35,0.35,0.37,0.39,0.49,0.35,0.35,0.35,0.26,0.26,0.50,0.35,0.49,0.65,0.49,0.50,0.50,0.35,0.35,0.35,0.39,0.50,0.50,0.35,0.35,0.35,0.37,0.33,0.37,0.43,0.49,0.40,0.49,0.35,0.50,0.49,0.39,0.35,,0.35,0.35,0.36,0.26,0.32,0.30,0.75,0.60,0.75,0.85,0.75,0.65,0.85,0.55,0.65,0.75,0.75,0.75,0.75,0.75,0.75,0.65,0.65,0.75,0.70,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.65,0.75,0.50,0.75,0.50,0.55,0.75,0.55,0.55,0.49,0.50
Sal  *,1 Kilogramos,0.62,0.55,0.66,0.60,0.55,0.55,0.55,0.55,0.51,0.55,0.57,0.55,0.55,0.50,0.46,0.51,0.64,0.64,0.64,0.55,0.55,0.60,0.55,0.64,0.64,0.49,0.49,0.55,0.55,0.55,0.55,0.55,0.51,0.44,0.44,0.55,0.55,0.77,0.55,0.49,0.55,0.64,0.55,0.64,0.55,0.64,0.64,0.60,0.55,0.51,0.60,0.99,0.99,0.88,1.10,0.99,0.88,1.10,0.99,1.10,0.77,0.77,0.88,0.99,,0.77,0.77,0.77,0.77,,0.77,0.77,0.99,,0.88,0.77,0.88,0.88,0.77,0.77,0.77,0.77,1.10,0.77,0.88,0.99,0.88,0.64,0.77,0.77
Salsa de Tomate *,113 Gramos,0.50,,0.65,,0.50,0.35,0.35,0.35,0.34,0.39,0.49,0.35,0.35,0.35,0.26,0.26,0.50,0.35,0.49,0.65,0.35,0.50,0.50,0.35,0.35,0.50,0.39,0.50,0.50,0.35,0.35,0.35,0.33,0.33,0.33,0.35,0.35,0.50,0.35,0.35,0.50,0.35,0.39,0.33,,0.35,0.35,0.30,0.30,0.32,0.30,0.75,0.60,0.75,0.85,0.75,0.65,0.85,0.55,0.65,0.75,0.75,0.75,0.70,0.75,0.75,0.75,0.65,0.75,0.70,0.75,0.75,0.65,0.75,0.75,0.65,0.70,0.70,0.75,0.65,0.75,0.50,0.75,0.70,0.55,0.65,0.75,0.49,0.49,0.50
Soda en envase pl†stico *,1 Litros,1.12,1.05,1.29,1.29,1.50,1.09,1.09,1.20,1.11,1.25,1.25,1.09,1.25,1.09,1.24,1.07,1.10,1.09,1.09,1.10,1.50,1.12,1.10,1.09,1.09,1.12,1.12,1.10,1.10,1.09,1.09,1.09,1.11,1.23,1.11,1.12,1.12,1.50,1.09,1.12,1.15,1.09,,1.25,1.15,1.25,,1.20,1.07,,1.07,1.75,1.50,1.45,1.75,1.25,1.25,1.25,1.25,1.35,1.65,1.50,1.25,1.35,1.25,1.25,1.25,1.45,1.50,,1.25,1.25,1.25,1.25,1.35,1.25,1.25,1.25,,1.25,1.25,1.25,,1.35,1.25,1.25,1.25,,,1.05
Sopa Deshidratada (Pollo y Fideos) *,60 Gramos,0.59,0.65,0.48,0.49,0.50,0.44,0.42,0.42,0.48,0.40,0.59,0.42,0.42,0.42,0.38,0.38,0.45,0.42,0.42,0.65,0.49,0.42,0.45,0.44,0.42,0.40,0.40,0.45,0.45,0.42,0.42,0.42,0.41,0.38,0.38,0.40,0.40,0.50,0.49,0.60,,0.62,0.45,0.40,0.50,,0.44,0.42,0.44,0.41,0.43,0.75,0.55,0.75,0.85,0.75,0.65,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.60,0.65,0.65,0.60,0.60,0.65,0.65,0.65,0.65,0.65,,0.65,0.65,0.65,0.45,0.50,0.65
Te Negro *,36 Gramos,0.90,,0.92,0.92,0.95,0.95,0.95,0.95,0.93,0.93,0.93,0.95,0.95,0.95,0.96,0.87,0.95,0.95,0.95,0.95,0.95,0.88,0.95,0.95,0.95,0.90,0.89,0.95,0.95,0.95,0.95,0.95,0.93,0.88,0.87,0.95,0.95,0.95,0.95,0.90,0.95,0.95,,0.92,0.95,0.95,0.95,0.99,0.88,0.86,0.88,1.45,1.00,,1.35,,1.25,,1.25,,,,,,,,,,,,,,,,,,,,,,,1.00,,1.00,1.00,1.25,1.25,0.90,0.89,1.25
