,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Crema  de Ma°z *,300 Gramos,,0.60,,0.56,0.60,0.60,0.60,0.60,0.69,0.59,,0.60,,0.60,0.63,0.63,0.65,0.60,0.60,0.60,0.60,0.70,0.79,0.65,0.60,0.69,0.70,0.60,0.60,0.60,0.60,0.60,0.52,0.58,0.57,0.59,0.59,0.79,0.60,0.69,0.79,0.55,0.59,0.59,0.65,0.65,0.60,,0.58,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,,,0.61,,
Hojuelas de Ma°z (corn flakes) cajeta *,300 Gramos,3.10,2.10,3.21,2.43,2.10,1.99,1.99,1.79,1.98,2.63,,2.29,2.69,1.79,1.98,1.95,2.10,1.99,1.99,2.10,1.99,2.31,2.10,1.79,1.79,2.38,2.79,2.10,2.10,2.29,1.99,1.79,1.98,2.45,1.98,1.95,1.95,2.10,1.79,3.15,2.95,2.69,2.67,3.09,2.95,,,2.69,2.77,3.10,3.10,2.75,,,,,2.50,,3.00,,,,,,,,,,,,,,2.95,,,,,,,,,,,3.95,,,,,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.83,0.85,0.82,0.84,0.58,0.63,0.63,0.63,0.61,0.58,0.58,0.63,0.63,0.63,0.60,0.60,0.80,0.63,0.63,0.85,0.63,0.81,0.80,0.63,0.63,0.56,0.75,0.80,0.80,0.63,0.63,0.63,0.61,0.54,0.58,0.75,0.75,0.80,0.63,0.75,0.75,0.78,0.75,0.75,,0.63,0.63,0.63,0.54,0.60,0.61,0.65,1.00,0.95,1.00,0.85,,0.95,0.85,0.85,0.80,0.85,0.85,0.85,0.85,0.85,0.70,0.77,0.85,0.85,0.85,0.80,0.85,0.85,0.85,0.80,0.85,0.80,,,,0.85,0.90,0.85,0.85,0.85,0.85,,,
Pan de Michita *,1 Kilogramos,,,,,,,,,,,,,,2.45,,,,,,,2.45,,,,,,,2.75,2.75,,,,3.00,,3.00,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan Molde *,500 Gramos,,,,,,,,,0.90,,,,,,,,,,,,,,0.92,,,,,,0.92,,,,0.90,,,,,,,0.92,,,,0.92,0.92,,,,0.90,0.86,0.90,,,,,,,,,,,,,,,,,,,,,,,0.92,,,0.92,,,,,,,,,0.92,,,0.92,
Tortilla de Ma°z *,10 Unidades,1.10,,1.45,1.45,1.13,,1.15,1.15,,1.15,1.15,1.05,1.05,1.05,0.89,0.86,0.98,1.15,1.15,1.19,1.15,1.10,1.05,1.05,1.05,0.89,1.10,0.95,1.33,1.05,1.05,1.05,0.95,1.15,0.89,1.15,1.15,1.10,1.15,0.87,0.95,1.05,1.05,0.99,0.99,1.05,,1.05,0.97,,0.95,1.15,1.00,1.25,,1.00,1.00,1.45,1.00,1.10,1.00,1.00,1.00,,,1.00,1.00,1.00,,1.00,1.00,,1.00,1.00,1.00,1.00,,1.00,,1.00,1.00,1.00,1.00,1.00,,1.00,0.85,0.99,0.95,0.95
Aj° Dulce y/o picoloro *,1 Kilogramos,,2.09,,3.80,2.99,,,2.59,1.64,,2.85,2.59,2.59,2.59,2.57,2.57,2.39,2.59,,2.39,2.59,,,2.59,,1.98,2.85,2.00,2.99,2.59,2.65,2.59,1.97,2.73,2.00,3.45,2.95,2.39,2.59,2.45,2.09,2.18,,,1.66,,,2.59,2.17,,2.76,,,,2.76,,,,3.31,,2.76,,3.31,,,2.20,3.31,,,,,,3.31,,2.76,2.20,2.76,,,,2.20,,,3.86,3.31,,3.31,,,1.87
Ajo *,1 Kilogramos,,4.55,,3.30,4.55,2.75,,2.75,2.73,2.45,,,2.75,2.75,2.43,,,,,4.55,2.75,,,2.75,,3.20,2.45,4.55,4.55,2.75,2.75,2.75,2.73,2.77,,2.45,2.45,,2.75,,4.55,2.76,,2.45,3.64,2.75,2.75,,2.08,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,,1.96,,2.09
Cebolla Amarilla *,1 Kilogramos,,1.75,1.76,1.76,1.75,1.76,1.76,1.76,1.74,1.76,,1.76,1.76,1.76,,,1.75,1.76,1.76,1.75,,,,1.76,1.76,1.76,1.76,1.75,,1.76,1.76,1.76,1.74,,,1.76,1.76,1.75,,1.76,1.74,1.76,1.76,1.76,1.75,,,,1.67,1.74,1.67,1.76,1.76,1.76,,,,,,1.76,,,,,1.76,,1.76,,,,1.76,,,,1.76,1.76,,,,,,,,1.76,1.76,,,,,
Lechuga *,1 Kilogramos,,,4.45,,3.11,4.85,4.85,4.85,,,4.25,,4.85,,,,,3.49,,3.11,4.85,,,,3.49,3.64,4.25,3.11,,,,,3.47,,,4.25,4.25,3.11,,3.75,,2.40,3.65,3.65,,,,,,,,5.51,,6.06,,,,,,,,,,,2.76,,3.31,,,,,,5.51,,,5.51,4.30,3.31,,,3.86,,,7.17,5.51,,3.09,5.48,5.48,4.21
