,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPAÑA,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 VÍA PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÚCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MAÑANITAS,XTRA  24 DICIEMBRE,XTRA PACORA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,MINISUPER EL VETERANO,MINISUPER CD,ABA EL CANGREJO/ BELLA VISTA,FRUTERÍA  MIMI,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMÁ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LEÓN-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN DÍAZ,MINISUPER - JUAN DÍAZ,MINISUPER JULY ZHANG- JUAN DÍAZ,M/S SUSANA LUO JUAN DIAZ,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,M/S CABALLEROS LOO,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCÉANO,ABARROTERÍA BERAKA
10,31,Repollo Verde *,1 Kilogramos,1.61,1.77,3.08,3.08,1.49,1.98,1.49,1.96,1.60,1.95,1.49,1.49,1.49,1.47,1.47,1.77,1.49,1.49,1.77,1.49,1.60,1.99,1.49,1.49,1.49,1.95,1.69,1.77,1.49,1.49,,,1.23,1.47,1.60,1.95,1.77,1.49,1.95,1.95,1.77,1.49,1.49,1.27,1.27,1.30,1.77,1.49,2.76,2.20,1.76,2.76,1.76,2.20,,2.76,2.20,2.20,2.20,2.20,,2.09,1.76,2.20,2.20,,1.76,1.32,2.76,2.65,1.65,2.76,2.76,1.65,2.76,,1.65,1.21,1.65,,1.76,,,,2.20,2.20,1.32,2.76
10,32,Tomate Nacional (Perita ó 3 x 3) *,1 Kilogramos,2.71,2.71,2.71,2.71,2.55,2.69,2.71,2.67,2.55,2.40,2.69,,2.59,2.38,2.38,2.71,2.69,2.69,2.71,2.71,2.25,3.22,2.71,2.71,2.39,2.40,2.71,2.71,2.55,2.99,2.69,2.08,2.38,2.37,2.40,2.40,2.71,2.69,1.87,2.40,2.71,,,,2.37,2.64,2.74,2.69,2.71,2.71,,2.71,2.20,2.71,,2.71,,2.20,2.71,2.71,,2.71,2.49,2.20,2.71,,2.20,2.20,2.76,3.31,2.20,2.71,2.71,2.55,2.71,2.76,2.55,2.40,2.20,2.71,2.20,,,,2.71,2.71,,2.65
10,33,Yuca *,1 Kilogramos,,,,,,,,0.77,,,,,,,0.60,0.83,,,0.83,,0.84,0.83,,,,,0.83,0.83,,,,0.60,,,,,0.62,,,,0.83,,,,0.73,0.72,,,,,,,,,,,0.84,0.77,,,,,,,,,0.62,,,,,,0.84,,,,0.84,0.77,,,,,,,,,,
10,34,Zanahoria *,1 Kilogramos,,1.75,2.35,,1.64,0.99,0.99,0.97,1.45,1.09,1.64,,1.64,1.60,1.60,1.83,0.99,0.99,1.83,1.64,1.40,1.75,1.64,1.64,,0.99,1.77,1.86,1.64,0.99,1.64,1.62,0.97,0.93,1.45,0.98,1.83,1.64,0.99,0.99,1.77,0.99,0.99,0.78,0.78,0.99,1.83,0.99,2.76,2.20,2.20,2.20,1.76,2.20,,2.20,2.20,2.20,1.65,1.65,1.76,2.09,1.76,2.20,2.20,,1.76,1.65,2.20,2.65,1.65,2.76,2.20,1.65,2.20,2.20,0.99,1.08,1.50,2.20,1.76,1.76,,,2.20,2.20,1.65,2.20
4,35,Frijoles Chiricanos *,1 Kilogramos,2.93,,,,2.43,2.09,2.09,1.98,2.84,2.84,2.62,2.62,,,2.51,,2.54,2.43,2.84,2.09,2.82,3.06,2.43,2.54,2.18,2.84,2.84,2.84,,2.84,,2.47,2.03,2.14,2.40,2.36,2.98,2.84,2.36,2.84,2.84,2.09,2.43,1.92,2.09,2.18,2.84,2.84,,,,,,2.98,,3.20,,,,,,3.31,3.31,3.20,,2.98,,,3.31,3.31,3.31,3.20,,3.20,,,2.84,2.84,3.20,,,,2.20,,2.76,2.98,,2.98
4,36,Lentejas *,1 Kilogramos,1.61,1.65,1.61,1.61,1.52,1.61,1.52,1.48,1.34,1.34,1.52,1.52,1.52,1.30,1.30,1.52,1.52,1.52,1.52,1.52,1.61,1.65,1.43,1.43,1.43,1.34,1.52,,1.52,1.52,1.61,1.17,1.39,1.30,1.34,1.34,1.52,1.52,1.34,1.34,1.52,1.61,1.19,1.30,1.52,1.52,1.52,1.52,2.76,1.87,1.61,2.20,1.72,1.61,2.20,1.87,1.87,1.87,1.65,1.87,1.61,1.87,,1.65,1.65,1.87,1.65,1.87,2.20,1.83,1.61,1.65,1.61,1.61,1.87,1.46,1.57,1.21,1.61,1.87,1.61,1.61,1.54,1.85,1.65,2.43,1.61,1.61
4,37,Porotos Rojos *,1 Kilogramos,2.12,2.16,2.12,2.12,1.92,1.92,2.12,1.87,2.12,1.87,1.92,1.92,1.92,1.87,1.87,2.16,1.92,1.92,2.16,1.97,2.12,2.14,1.92,1.96,2.12,1.87,2.16,2.16,1.92,1.92,1.92,1.87,1.87,1.83,2.12,1.87,1.96,1.92,1.87,1.87,2.05,2.09,1.92,1.87,1.87,2.09,2.16,1.92,3.31,2.43,,2.76,2.09,2.12,2.76,2.76,2.12,2.20,2.20,2.20,2.12,2.20,2.76,2.12,2.12,2.12,2.20,2.12,1.65,2.12,2.12,2.43,2.12,2.12,2.20,2.20,2.12,2.09,2.12,2.43,2.12,2.12,1.98,2.43,2.20,2.98,2.12,2.12
11,38,Guineos *,1 Kilogramos,1.01,1.05,1.10,1.10,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.97,0.97,1.05,0.99,0.99,1.04,0.99,1.01,0.93,,0.99,,0.95,1.05,0.95,,0.99,0.99,0.87,0.97,0.92,0.98,0.89,,,0.96,0.96,1.05,,0.99,,0.94,0.99,1.05,0.99,1.32,,,1.21,1.10,1.10,1.43,1.10,1.10,,1.10,1.10,,1.10,1.10,1.10,1.10,,,,1.10,1.10,,1.10,1.10,1.10,1.10,,0.77,,0.99,0.88,1.10,1.10,,1.10,1.10,1.10,1.10,1.32
11,39,Manzana Roja Mediana *,1 Unidades,,,0.45,0.45,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,0.35,,,0.65,0.50,0.50,0.50,0.50,0.50,0.50,0.60,0.40,0.60,0.50,0.50,0.50,0.50,0.50,0.50,0.50,,0.50,,0.50,0.55,0.50,0.50,0.50,,0.50,0.50,,,0.30,,0.50,0.50,0.50,0.50,0.60,0.50,,0.35
11,40,Naranja de Jugo *,1 Kilogramos,,,0.95,,,0.79,0.79,,0.75,,0.79,0.79,,0.72,0.73,,,,,0.79,,,0.79,0.79,0.55,0.85,,,0.79,0.79,,0.72,0.57,0.53,0.85,0.85,,,0.75,,,0.79,,0.63,0.63,0.57,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,41,Piña *,1 Kilogramos,1.00,,0.90,,0.88,0.88,0.88,,0.55,,0.88,0.88,0.88,,,,0.88,,,0.88,0.86,,0.88,0.88,0.85,,,,0.88,,,1.00,,,0.95,0.95,,0.88,0.95,0.95,,0.88,0.88,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,42,Aceite Vegetal Nacional *,"1,42 Litros",3.85,3.15,3.89,3.89,2.49,1.99,2.39,1.93,2.69,2.75,2.79,2.79,2.79,2.79,1.97,2.69,2.79,2.79,1.95,2.49,3.85,2.69,2.79,2.76,2.82,2.71,1.95,2.69,2.79,2.79,2.79,2.03,1.93,2.23,2.63,2.79,2.45,2.39,2.41,2.41,,2.79,2.49,2.41,1.97,2.18,2.69,2.79,,,,,,3.75,,3.75,,3.25,,3.25,,3.50,,,3.95,,,3.85,,,,3.75,3.00,3.25,,,2.69,2.79,4.25,3.85,,,2.85,3.50,3.50,3.45,,3.45
6,43,Margarina en barra*,1 Kilogramos,2.67,2.98,2.87,,2.62,2.65,2.65,2.65,2.58,2.76,2.62,2.62,2.62,2.62,2.65,2.98,2.62,2.62,2.98,2.62,2.67,2.98,2.62,2.62,2.58,2.65,2.98,3.51,2.62,2.62,2.62,2.65,2.54,2.65,2.75,2.65,3.20,2.65,2.76,2.65,2.98,2.62,2.62,2.43,2.43,2.43,2.98,2.62,4.85,4.41,3.95,3.86,5.29,4.41,4.41,4.41,4.41,4.41,3.86,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,3.09,4.41,4.41,4.41,4.85,4.41,4.41,4.85,4.41,2.76,2.31,,,3.66,4.08,3.86,4.74,4.41,4.41,4.41,4.19
1,44,Leche en Polvo entera instantánea *,360 Gramos,3.76,,3.76,3.76,1.99,3.10,1.99,2.90,3.75,3.75,2.97,3.72,2.92,3.29,3.29,3.76,2.92,2.92,3.31,3.10,3.76,3.32,1.99,1.99,2.98,2.95,3.31,3.31,2.92,3.39,3.39,3.79,2.96,2.93,3.67,3.67,3.72,2.92,3.74,3.74,3.76,3.39,3.29,3.70,3.70,3.55,3.31,3.39,,,,3.76,3.75,3.76,,3.76,3.76,,3.76,3.75,,3.76,3.76,3.76,3.76,,3.76,,3.76,3.76,3.76,3.76,3.76,3.75,3.76,,3.76,,3.76,3.75,,,3.76,3.76,3.76,3.75,3.75,3.50
1,45,Leche Evaporada *,167 Gramos,0.51,0.45,0.67,0.67,0.49,0.49,0.49,0.43,0.47,0.43,0.49,0.49,0.49,0.43,0.43,0.45,0.49,0.49,0.45,0.49,0.55,0.45,0.49,0.49,0.42,0.42,0.45,0.47,0.49,0.49,0.49,0.43,0.40,0.40,0.45,0.66,0.55,0.49,0.41,0.41,,0.49,0.49,0.41,0.41,0.42,0.45,0.49,0.75,0.75,0.80,0.75,0.75,0.60,0.75,0.55,0.75,0.60,0.60,0.65,0.75,0.55,0.55,0.60,0.60,,0.60,0.70,0.65,0.75,0.65,0.60,0.60,0.55,0.60,0.75,0.47,0.49,0.60,0.65,0.65,0.65,0.65,0.75,0.55,0.60,0.60,0.60
1,46,Leche Fresca y Pasteurizada *,946 Mililitros,1.49,1.35,1.49,1.49,1.35,1.35,1.35,1.33,1.35,1.29,1.35,1.35,1.35,1.31,,1.35,1.35,1.35,1.35,1.35,1.38,1.35,1.35,1.35,1.33,1.19,1.35,1.35,1.35,1.35,1.35,1.33,1.23,1.17,1.33,1.35,1.35,1.35,1.31,1.29,1.35,1.35,1.35,1.27,1.29,1.33,1.35,1.35,1.65,1.65,1.75,1.55,1.50,1.50,1.45,1.55,1.45,1.60,1.50,1.60,1.50,1.60,1.55,1.50,1.50,1.60,1.60,1.50,1.50,1.50,1.40,1.50,1.45,1.50,1.50,1.45,1.50,1.35,,1.50,1.50,1.50,1.45,1.55,1.50,1.50,1.50,1.35
1,47,Queso Amarillo *,1 Kilogramos,6.61,6.61,6.61,6.61,6.21,6.21,6.21,6.59,6.65,,6.21,6.61,6.21,6.19,6.19,,6.21,,6.61,6.21,6.61,6.61,6.21,6.21,6.39,6.60,6.61,6.61,6.21,6.21,6.21,6.19,6.19,6.19,,6.60,6.61,6.61,6.60,6.60,6.61,6.61,6.21,6.19,6.19,6.59,6.61,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,48,Queso Blanco Prensado Bajo en Sal *,1 Kilogramos,,11.35,,,10.95,10.95,10.95,10.97,11.10,,11.00,11.00,,,,,11.00,10.19,10.84,11.00,14.60,13.95,11.00,11.00,,,12.89,,11.00,11.00,11.00,10.46,11.79,10.28,10.65,,10.89,10.95,15.25,11.75,11.69,12.19,10.95,10.25,10.25,10.31,10.89,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,49,Huevos Medianos de Gallina *,1 Docena,1.87,1.87,1.87,1.87,1.87,1.59,1.69,1.67,1.69,1.69,1.87,1.87,1.87,1.85,1.85,1.86,1.59,1.59,1.85,1.59,1.87,1.75,1.87,1.87,1.60,1.67,1.86,1.86,1.59,1.59,1.69,1.57,1.67,1.67,1.69,1.82,1.86,1.87,1.69,1.57,1.70,1.69,1.69,1.67,1.67,1.69,1.86,1.59,3.00,,,2.40,2.40,2.40,3.00,2.40,2.40,1.92,2.40,1.92,,2.40,2.40,1.80,2.40,2.28,,2.40,2.40,2.40,1.92,2.40,2.40,2.40,2.40,,,,1.87,2.40,1.92,2.40,2.04,2.40,1.80,2.40,2.40,1.92
12,50,Azúcar Morena *,1 Kilogramos,1.52,,,,,,,1.26,1.26,,,,,0.95,0.99,,,,,,1.65,,,,,,,,,,,0.97,0.99,1.21,,1.26,,,1.26,1.26,,,,1.21,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,51,Café Molido Tradicional *,425 Gramos,5.45,5.00,3.94,3.94,2.81,4.07,3.45,2.80,4.05,4.05,4.07,3.45,4.07,2.79,2.79,4.05,4.07,4.07,4.05,3.45,5.45,4.05,4.07,4.07,2.79,4.05,4.05,4.05,4.07,2.81,4.07,4.01,2.78,2.77,4.05,4.05,4.05,4.07,2.94,2.94,4.05,2.81,3.45,2.80,2.80,2.79,4.05,4.07,6.95,5.75,5.90,5.95,5.65,5.25,,5.50,5.65,5.25,5.50,5.50,,,,5.50,,5.65,,,5.65,,,5.95,5.25,5.00,,,4.99,4.19,4.55,,,,4.95,5.75,,5.50,,5.95
8,52,Jugo de Naranja *,946 Mililitros,1.05,1.05,1.39,1.39,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.22,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.99,0.99,1.05,1.05,1.05,1.05,1.05,1.50,1.45,1.40,1.35,1.35,1.35,1.50,1.35,1.25,1.35,1.25,1.25,1.35,1.30,1.25,1.25,1.25,1.35,1.25,1.25,1.25,1.25,1.25,1.35,1.25,1.25,1.25,1.25,1.29,0.95,1.25,1.25,1.25,1.25,1.25,1.35,1.35,1.35,1.35,1.25
8,53,Mayonesa *,15 Onzas,2.48,2.25,2.55,2.55,1.75,1.75,1.75,1.73,2.15,2.49,2.49,2.49,2.49,2.10,2.10,2.15,2.49,2.49,2.25,1.75,2.48,2.30,2.49,2.49,2.48,2.44,2.15,2.15,2.49,2.49,2.49,2.10,1.73,1.97,2.17,2.47,2.05,1.75,,2.48,2.15,2.49,2.49,2.48,,2.19,2.89,2.49,,2.95,,3.25,2.50,2.75,,2.85,,,,2.75,,2.85,,2.50,2.65,,2.65,2.50,2.73,3.00,,2.75,2.75,2.50,2.75,2.60,2.79,,,,,,2.50,,2.35,2.65,2.50,
8,54,Pasta de Tomate *,113 Gramos,0.62,,0.65,0.65,0.29,0.29,0.49,0.27,0.43,0.49,0.29,0.35,0.35,0.33,0.33,0.45,0.35,0.35,0.42,0.36,0.62,0.42,0.35,0.35,0.41,0.35,0.45,,0.35,0.29,0.29,0.33,0.33,0.35,0.43,0.43,0.42,0.29,0.43,0.33,0.30,0.29,0.29,0.28,0.33,0.35,0.45,0.35,0.85,0.75,0.60,0.75,0.75,0.65,0.85,0.55,0.50,0.75,0.60,0.75,0.75,0.75,0.75,0.75,0.65,0.75,0.70,0.75,0.75,0.75,0.75,0.75,0.75,0.65,0.70,0.75,0.59,0.49,0.50,0.75,,0.70,0.50,0.75,0.65,0.75,0.75,0.75
8,55,Sal  *,1 Kilogramos,0.55,0.55,0.66,0.66,0.55,0.64,0.64,0.51,0.55,0.57,0.55,0.64,0.55,0.51,0.51,0.55,0.55,0.55,0.55,0.55,0.60,0.55,0.55,0.55,,0.55,0.55,,0.55,0.55,0.55,0.51,0.44,0.44,0.55,0.60,0.62,0.55,0.57,0.55,0.55,0.55,0.55,0.51,0.53,0.49,0.64,0.55,1.10,0.88,0.99,0.88,1.10,0.88,1.10,0.77,1.10,0.77,0.66,0.88,0.99,0.88,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.99,0.88,0.77,0.88,0.77,0.88,0.77,0.66,0.50,0.77,0.77,0.77,0.77,0.77,1.10,0.77,0.77,0.99,0.88
8,56,Salsa de Tomate *,113 Gramos,0.59,0.42,0.65,0.65,0.29,0.29,0.35,0.27,0.43,0.43,0.29,0.35,0.35,0.33,0.33,0.50,0.29,0.29,0.42,0.35,0.62,0.43,0.35,0.35,0.41,0.43,0.50,0.32,0.29,0.29,0.35,0.33,0.32,0.33,0.43,0.43,0.50,0.29,0.43,0.43,0.39,0.29,0.29,0.27,0.33,0.35,0.35,0.35,0.85,0.75,0.62,0.75,0.75,0.65,,0.55,0.65,0.75,0.50,0.75,0.70,0.75,0.75,0.75,0.65,0.75,0.65,0.75,0.70,0.65,0.75,0.75,0.75,0.65,0.70,0.75,0.59,,0.58,0.75,0.80,0.65,0.50,0.75,0.65,0.55,0.75,0.75
8,57,Soda en envase plástico *,1 Litros,1.20,1.04,1.24,1.24,1.20,1.20,1.20,1.18,1.15,1.15,1.10,1.10,1.20,1.20,1.14,1.25,1.10,,1.05,1.20,1.20,1.05,1.20,1.20,1.13,1.20,1.05,1.05,1.10,1.04,1.20,1.02,1.03,1.11,1.25,1.25,1.50,1.20,1.25,1.15,1.05,1.10,0.75,,,1.13,1.04,1.04,1.50,,1.75,1.45,1.35,1.25,1.45,1.25,1.35,1.60,1.25,1.35,1.35,1.25,1.25,1.25,1.25,1.50,1.00,1.20,1.25,1.50,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.15,1.35,1.35,1.25,1.25,1.25,1.35,1.25,1.25,1.00
8,58,Sopa Deshidratada (Pollo y Fideos) *,60 Gramos,0.59,0.45,0.48,0.48,0.42,0.42,0.42,0.40,0.40,0.40,0.42,0.42,,0.41,0.35,0.45,0.42,0.42,0.49,0.42,0.39,0.45,0.42,0.42,0.40,0.40,0.45,0.45,0.42,0.44,0.39,0.41,0.30,0.41,0.40,0.40,0.45,0.42,0.49,0.49,0.50,0.42,0.46,0.38,0.48,0.24,0.45,0.44,0.85,0.75,0.55,0.75,0.75,0.65,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.60,0.65,0.65,0.60,0.60,0.65,0.45,0.45,0.59,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.60
8,59,Te Negro *,36 Gramos,0.93,0.95,0.93,0.94,0.95,0.95,0.95,0.94,0.93,0.93,0.99,0.95,0.95,0.84,0.91,0.95,0.95,0.95,0.95,0.95,0.88,0.95,0.95,0.95,0.90,0.89,0.95,0.95,0.95,0.95,0.95,0.93,0.89,0.87,0.93,0.93,0.95,0.95,0.92,0.92,0.95,0.85,0.95,0.98,0.90,0.90,0.95,0.95,1.35,,,1.15,,1.25,,1.25,,,,,,,,,,,,,,,,,,1.25,,,0.89,0.90,1.25,1.00,,,,,1.00,1.00,,1.25
